t1,d1,v1,u,u_max
0,9.354965e-01,0,0,3.420924e+01
1.000000e-02,9.354109e-01,-1.710662e-02,0,3.346163e+01
2.000000e-02,9.351546e-01,-3.414481e-02,0,3.271075e+01
3.000000e-02,9.347284e-01,-5.105860e-02,0,3.195908e+01
4.000000e-02,9.341340e-01,-6.779521e-02,0,3.120896e+01
5.000000e-02,9.333733e-01,-8.430626e-02,0,3.046259e+01
6.000000e-02,9.324488e-01,-1.005490e-01,0,2.972189e+01
7.000000e-02,9.313633e-01,-1.164872e-01,0,2.898857e+01
8.000000e-02,9.301201e-01,-1.320923e-01,0,2.826398e+01
9.000000e-02,9.287226e-01,-1.473437e-01,0,2.754913e+01
1.000000e-01,9.271745e-01,-1.622293e-01,0,2.684470e+01
1.100000e-01,9.254793e-01,-1.767459e-01,0,2.615094e+01
1.200000e-01,9.236408e-01,-1.908991e-01,0,2.546777e+01
1.300000e-01,9.216625e-01,-2.047030e-01,0,2.479468e+01
1.400000e-01,9.195478e-01,-2.181796e-01,0,2.413085e+01
1.500000e-01,9.172999e-01,-2.313587e-01,0,2.347509e+01
1.600000e-01,9.149215e-01,-2.442765e-01,0,2.282594e+01
1.700000e-01,9.124151e-01,-2.569747e-01,0,2.218166e+01
1.800000e-01,9.097826e-01,-2.694995e-01,0,2.154031e+01
1.900000e-01,9.070255e-01,-2.819005e-01,0,2.089980e+01
2.000000e-01,9.041448e-01,-2.942287e-01,0,2.025794e+01
2.100000e-01,9.011410e-01,-3.065359e-01,0,1.961248e+01
2.200000e-01,8.980140e-01,-3.188729e-01,0,1.896123e+01
2.300000e-01,8.947633e-01,-3.312882e-01,0,1.830204e+01
2.400000e-01,8.913878e-01,-3.438266e-01,0,1.763294e+01
2.500000e-01,8.878862e-01,-3.565282e-01,0,1.695212e+01
2.600000e-01,8.842566e-01,-3.694273e-01,0,1.625802e+01
2.700000e-01,8.804969e-01,-3.825513e-01,0,1.554938e+01
2.800000e-01,8.766048e-01,-3.959203e-01,0,1.482523e+01
2.900000e-01,8.725776e-01,-4.095461e-01,0,1.408497e+01
3.000000e-01,8.684130e-01,-4.234322e-01,0,1.332835e+01
3.100000e-01,8.641081e-01,-4.375737e-01,0,1.255550e+01
3.200000e-01,8.596607e-01,-4.519570e-01,0,1.176690e+01
3.300000e-01,8.550683e-01,-4.665607e-01,0,1.096341e+01
3.400000e-01,8.503288e-01,-4.813557e-01,0,1.014622e+01
3.500000e-01,8.454406e-01,-4.963060e-01,0,9.316835e+00
3.600000e-01,8.404023e-01,-5.113697e-01,0,8.477023e+00
3.700000e-01,8.352130e-01,-5.264999e-01,0,7.628794e+00
3.800000e-01,8.298723e-01,-5.416460e-01,0,6.774334e+00
3.900000e-01,8.243802e-01,-5.567549e-01,0,5.915961e+00
4.000000e-01,8.187375e-01,-5.717723e-01,0,5.056060e+00
4.100000e-01,8.129453e-01,-5.866441e-01,0,4.197032e+00
4.200000e-01,8.070053e-01,-6.013175e-01,0,3.341231e+00
4.300000e-01,8.009197e-01,-6.157427e-01,0,2.490909e+00
4.400000e-01,7.946914e-01,-6.298740e-01,0,1.648160e+00
4.500000e-01,7.883234e-01,-6.436705e-01,0,8.148710e-01
4.600000e-01,7.818192e-01,-6.570976e-01,0,-7.321469e-03
4.700000e-01,7.751828e-01,-6.701276e-01,0,-8.170722e-01
4.800000e-01,7.684181e-01,-6.827405e-01,0,-1.613356e+00
4.900000e-01,7.615294e-01,-6.949241e-01,0,-2.395489e+00
5.000000e-01,7.545210e-01,-7.066744e-01,0,-3.163145e+00
5.100000e-01,7.473973e-01,-7.179959e-01,0,-3.916355e+00
5.200000e-01,7.401625e-01,-7.289010e-01,0,-4.655509e+00
5.300000e-01,7.328206e-01,-7.394098e-01,0,-5.381332e+00
5.400000e-01,7.253755e-01,-7.495497e-01,0,-6.094871e+00
5.500000e-01,7.178307e-01,-7.593541e-01,0,-6.797457e+00
5.600000e-01,7.101894e-01,-7.688621e-01,0,-7.490671e+00
5.700000e-01,7.024543e-01,-7.781169e-01,0,-8.176297e+00
5.800000e-01,6.946278e-01,-7.871650e-01,0,-8.856273e+00
5.900000e-01,6.867116e-01,-7.960548e-01,0,-9.532638e+00
6.000000e-01,6.787071e-01,-8.048354e-01,0,-1.020748e+01
6.100000e-01,6.706151e-01,-8.135550e-01,0,-1.088286e+01
6.200000e-01,6.624360e-01,-8.222600e-01,0,-1.156080e+01
6.300000e-01,6.541698e-01,-8.309937e-01,0,-1.224316e+01
6.400000e-01,6.458159e-01,-8.397949e-01,0,-1.293168e+01
6.500000e-01,6.373735e-01,-8.486970e-01,0,-1.362782e+01
6.600000e-01,6.288415e-01,-8.577275e-01,0,-1.433282e+01
6.700000e-01,6.202185e-01,-8.669066e-01,0,-1.504763e+01
6.800000e-01,6.115029e-01,-8.762471e-01,0,-1.577284e+01
6.900000e-01,6.026930e-01,-8.857541e-01,0,-1.650874e+01
7.000000e-01,5.937872e-01,-8.954244e-01,0,-1.725526e+01
7.100000e-01,5.847840e-01,-9.052473e-01,0,-1.801198e+01
7.200000e-01,5.756818e-01,-9.152042e-01,0,-1.877815e+01
7.300000e-01,5.664795e-01,-9.252693e-01,0,-1.955269e+01
7.400000e-01,5.571762e-01,-9.354103e-01,0,-2.033424e+01
7.500000e-01,5.477712e-01,-9.455892e-01,0,-2.112115e+01
7.600000e-01,5.382644e-01,-9.557634e-01,0,-2.191157e+01
7.700000e-01,5.286561e-01,-9.658862e-01,0,-2.270347e+01
7.800000e-01,5.189470e-01,-9.759089e-01,0,-2.349470e+01
7.900000e-01,5.091384e-01,-9.857811e-01,0,-2.428302e+01
8.000000e-01,4.992321e-01,-9.954527e-01,0,-2.506618e+01
8.100000e-01,4.892302e-01,-1.004874e+00,0,-2.584197e+01
8.200000e-01,4.791356e-01,-1.014000e+00,0,-2.660825e+01
