L1,L2,m1,m2,dd1,st,pr,rms
8.100000e-01,8.100000e-01,5,5,1.642558e-01,2.590000e+00,1.642558e-01,2.277138e-02
8.100000e-01,8.100000e-01,5,10,1.272505e-01,2.351000e+00,1.272505e-01,2.656433e-02
8.100000e-01,8.100000e-01,5,15,2.463912e-01,2.181000e+00,2.463912e-01,2.145510e-02
8.100000e-01,8.100000e-01,5,20,1.897986e-01,2.467000e+00,1.897986e-01,2.595596e-02
8.100000e-01,8.100000e-01,5,25,2.302729e-01,2.434000e+00,2.302729e-01,2.657332e-02
8.100000e-01,8.100000e-01,5,30,1.609627e-01,2.437000e+00,1.609627e-01,2.766364e-02
8.100000e-01,8.100000e-01,5,35,2.271591e-01,2.354000e+00,2.271591e-01,2.635378e-02
8.100000e-01,8.100000e-01,5,40,2.636623e-01,2.288000e+00,2.636623e-01,2.500997e-02
8.100000e-01,8.100000e-01,5,45,2.671062e-01,2.489000e+00,2.671062e-01,2.386041e-02
8.100000e-01,8.100000e-01,5,50,1.691404e-01,2.625000e+00,1.691404e-01,2.610219e-02
8.100000e-01,8.100000e-01,5,55,2.513959e-01,2.344000e+00,2.513959e-01,2.494071e-02
8.100000e-01,8.100000e-01,5,60,2.469409e-01,2.522000e+00,2.469409e-01,2.715677e-02
8.100000e-01,8.100000e-01,5,65,1.964507e-01,2.579000e+00,1.964507e-01,2.688153e-02
8.100000e-01,8.100000e-01,5,70,2.061251e-01,2.369000e+00,2.061251e-01,2.547366e-02
8.100000e-01,8.100000e-01,5,75,2.483166e-01,2.503000e+00,2.483166e-01,2.666892e-02
8.100000e-01,8.100000e-01,5,80,2.602312e-01,2.493000e+00,2.602312e-01,2.612382e-02
8.100000e-01,8.100000e-01,5,85,2.659607e-01,2.453000e+00,2.659607e-01,2.545205e-02
8.100000e-01,8.100000e-01,5,90,2.607318e-01,2.579000e+00,2.607318e-01,2.515382e-02
8.100000e-01,8.100000e-01,5,95,2.158079e-01,2.368000e+00,2.158079e-01,2.568113e-02
8.100000e-01,8.100000e-01,5,100,2.703624e-01,2.356000e+00,2.703624e-01,2.541245e-02
8.100000e-01,8.100000e-01,5,105,2.339107e-01,2.458000e+00,2.339107e-01,2.652774e-02
8.100000e-01,8.100000e-01,5,110,2.627646e-01,2.445000e+00,2.627646e-01,2.583338e-02
8.100000e-01,8.100000e-01,5,115,2.376789e-01,2.577000e+00,2.376789e-01,2.719259e-02
8.100000e-01,8.100000e-01,5,120,2.223253e-01,2.356000e+00,2.223253e-01,2.703529e-02
8.100000e-01,8.100000e-01,5,125,2.801735e-01,2.344000e+00,2.801735e-01,2.575259e-02
8.100000e-01,8.100000e-01,5,130,2.528887e-01,2.474000e+00,2.528887e-01,2.650409e-02
8.100000e-01,8.100000e-01,5,135,2.430579e-01,2.454000e+00,2.430579e-01,2.632753e-02
8.100000e-01,8.100000e-01,5,140,2.524057e-01,2.443000e+00,2.524057e-01,2.601617e-02
8.100000e-01,8.100000e-01,5,145,2.587020e-01,2.570000e+00,2.587020e-01,2.561216e-02
8.100000e-01,8.100000e-01,5,150,2.520884e-01,2.351000e+00,2.520884e-01,2.621810e-02
8.100000e-01,8.100000e-01,5,155,2.744068e-01,2.491000e+00,2.744068e-01,2.635905e-02
