t,d1
0,8.509714e-01
6.300000e-02,8.243786e-01
1.260000e-01,7.977857e-01
1.870000e-01,7.446000e-01
2.550000e-01,6.914143e-01
3.230000e-01,6.648214e-01
3.940000e-01,6.027714e-01
4.630000e-01,5.229929e-01
5.260000e-01,4.520786e-01
5.900000e-01,3.723000e-01
6.490000e-01,2.836571e-01
7.160000e-01,2.038786e-01
7.840000e-01,1.152357e-01
8.570000e-01,3.545714e-02
9.230000e-01,-3.545714e-02
9.850000e-01,-1.063714e-01
1.052000e+00,-1.772857e-01
1.143000e+00,-2.482000e-01
1.225000e+00,-3.102500e-01
1.302000e+00,-3.811643e-01
1.372000e+00,-4.432143e-01
1.440000e+00,-5.407214e-01
1.507000e+00,-6.027714e-01
1.580000e+00,-6.648214e-01
1.652000e+00,-7.357357e-01
1.734000e+00,-7.800571e-01
1.803000e+00,-8.243786e-01
1.868000e+00,-8.598357e-01
1.931000e+00,-8.864286e-01
1.993000e+00,-8.952929e-01
2.055000e+00,-9.041571e-01
2.126000e+00,-8.952929e-01
2.193000e+00,-8.775643e-01
2.264000e+00,-8.598357e-01
2.334000e+00,-8.243786e-01
2.405000e+00,-7.889214e-01
2.472000e+00,-7.446000e-01
2.542000e+00,-7.002786e-01
2.607000e+00,-6.559571e-01
2.671000e+00,-6.116357e-01
2.735000e+00,-5.584500e-01
2.799000e+00,-5.141286e-01
2.862000e+00,-4.609429e-01
2.926000e+00,-3.988929e-01
2.993000e+00,-3.368429e-01
3.063000e+00,-2.570643e-01
3.129000e+00,-1.772857e-01
3.193000e+00,-9.750714e-02
3.263000e+00,0
3.334000e+00,8.864286e-02
3.404000e+00,1.772857e-01
3.471000e+00,2.659286e-01
3.540000e+00,3.457071e-01
3.607000e+00,4.166214e-01
3.671000e+00,4.786714e-01
3.745000e+00,5.318571e-01
3.813000e+00,5.761786e-01
3.881000e+00,6.205000e-01
3.950000e+00,6.470929e-01
4.021000e+00,6.559571e-01
4.091000e+00,6.648214e-01
4.155000e+00,6.559571e-01
4.220000e+00,6.293643e-01
4.288000e+00,5.761786e-01
4.358000e+00,5.407214e-01
4.430000e+00,5.052643e-01
4.498000e+00,4.609429e-01
4.567000e+00,4.343500e-01
4.632000e+00,4.077571e-01
4.705000e+00,3.900286e-01
4.770000e+00,3.723000e-01
4.834000e+00,3.634357e-01
4.896000e+00,3.723000e-01
4.963000e+00,3.545714e-01
5.034000e+00,3.634357e-01
5.101000e+00,3.545714e-01
5.168000e+00,3.279786e-01
5.231000e+00,3.368429e-01
5.291000e+00,2.925214e-01
5.357000e+00,2.482000e-01
5.441000e+00,2.038786e-01
5.517000e+00,1.241000e-01
5.594000e+00,6.205000e-02
5.663000e+00,-1.772857e-02
5.729000e+00,-6.205000e-02
5.802000e+00,-9.750714e-02
5.878000e+00,-1.063714e-01
5.953000e+00,-8.864286e-02
6.025000e+00,-7.091429e-02
6.106000e+00,-5.318571e-02
6.177000e+00,-4.432143e-02
6.250000e+00,-4.432143e-02
6.324000e+00,-8.864286e-02
6.391000e+00,-1.152357e-01
6.450000e+00,-1.684214e-01
6.502000e+00,-2.393357e-01
6.555000e+00,-3.013857e-01
6.610000e+00,-4.077571e-01
6.672000e+00,-4.077571e-01
6.742000e+00,-4.254857e-01
6.800000e+00,-4.343500e-01
6.862000e+00,-4.343500e-01
6.921000e+00,-4.166214e-01
6.978000e+00,-3.900286e-01
7.039000e+00,-3.368429e-01
7.103000e+00,-2.925214e-01
7.165000e+00,-2.570643e-01
7.225000e+00,-2.127429e-01
7.283000e+00,-1.595571e-01
7.338000e+00,-1.418286e-01
7.436000e+00,-1.418286e-01
7.515000e+00,-1.329643e-01
7.591000e+00,-1.418286e-01
7.661000e+00,-1.684214e-01
7.734000e+00,-2.127429e-01
7.809000e+00,-2.393357e-01
7.880000e+00,-2.659286e-01
7.950000e+00,-2.925214e-01
8.025000e+00,-2.570643e-01
8.093000e+00,-2.216071e-01
8.163000e+00,-1.595571e-01
8.231000e+00,-8.864286e-02
8.295000e+00,8.864286e-03
8.358000e+00,8.864286e-02
8.422000e+00,1.772857e-01
8.488000e+00,2.482000e-01
8.565000e+00,3.013857e-01
8.635000e+00,3.279786e-01
8.702000e+00,3.279786e-01
8.768000e+00,3.102500e-01
8.835000e+00,2.925214e-01
8.908000e+00,2.304714e-01
8.982000e+00,2.127429e-01
9.044000e+00,1.772857e-01
9.107000e+00,1.506929e-01
9.175000e+00,1.506929e-01
9.237000e+00,1.772857e-01
9.306000e+00,2.127429e-01
9.379000e+00,2.659286e-01
9.450000e+00,3.279786e-01
9.513000e+00,3.545714e-01
9.580000e+00,4.166214e-01
9.644000e+00,4.698071e-01
9.704000e+00,4.698071e-01
9.765000e+00,4.520786e-01
9.826000e+00,4.166214e-01
9.892000e+00,3.634357e-01
9.962000e+00,3.279786e-01
1.003000e+01,2.482000e-01
1.010500e+01,1.684214e-01
1.017500e+01,8.864286e-02
1.024600e+01,2.659286e-02
1.031100e+01,-1.772857e-02
1.037300e+01,-4.432143e-02
1.044300e+01,-3.545714e-02
1.051100e+01,-1.772857e-02
1.057900e+01,-8.864286e-03
1.064500e+01,1.772857e-02
1.071000e+01,5.318571e-02
1.077200e+01,6.205000e-02
1.083800e+01,5.318571e-02
1.090400e+01,1.772857e-02
1.097300e+01,-8.864286e-03
1.104100e+01,-6.205000e-02
1.110700e+01,-1.418286e-01
1.117200e+01,-2.127429e-01
1.124600e+01,-2.925214e-01
1.131600e+01,-3.723000e-01
1.138200e+01,-4.254857e-01
1.144700e+01,-4.520786e-01
1.151000e+01,-4.609429e-01
1.158100e+01,-4.343500e-01
1.165400e+01,-3.988929e-01
1.172900e+01,-3.545714e-01
1.183000e+01,-3.279786e-01
1.191300e+01,-2.659286e-01
1.197600e+01,-2.038786e-01
1.203700e+01,-1.772857e-01
1.210000e+01,-1.684214e-01
1.218000e+01,-1.772857e-01
1.225300e+01,-2.038786e-01
1.232300e+01,-2.393357e-01
1.238700e+01,-2.659286e-01
1.244900e+01,-2.925214e-01
1.250900e+01,-3.013857e-01
1.260100e+01,-2.836571e-01
1.270500e+01,-2.393357e-01
1.277800e+01,-2.127429e-01
1.284600e+01,-1.506929e-01
1.291800e+01,-3.545714e-02
1.298100e+01,7.977857e-02
1.305100e+01,1.418286e-01
1.311100e+01,1.861500e-01
1.317400e+01,2.216071e-01
1.324200e+01,2.304714e-01
1.330900e+01,2.216071e-01
1.337500e+01,2.038786e-01
1.344200e+01,1.861500e-01
1.351300e+01,1.595571e-01
1.358600e+01,1.418286e-01
1.365700e+01,1.329643e-01
1.373100e+01,1.418286e-01
1.379700e+01,1.684214e-01
1.386800e+01,2.127429e-01
1.393300e+01,2.836571e-01
1.400300e+01,3.457071e-01
1.407300e+01,3.900286e-01
1.414800e+01,4.343500e-01
1.422500e+01,4.520786e-01
1.429900e+01,4.520786e-01
1.436500e+01,4.343500e-01
1.443400e+01,3.988929e-01
1.450200e+01,3.545714e-01
1.457000e+01,2.570643e-01
1.463100e+01,1.950143e-01
1.469300e+01,1.418286e-01
1.475400e+01,9.750714e-02
1.481900e+01,7.977857e-02
1.488700e+01,6.205000e-02
1.495800e+01,6.205000e-02
1.502900e+01,7.091429e-02
1.509300e+01,7.977857e-02
1.515400e+01,9.750714e-02
