t,d1
0,1
1.000000e-02,9.999085e-01
2.000000e-02,9.996345e-01
3.000000e-02,9.991790e-01
4.000000e-02,9.985436e-01
5.000000e-02,9.977304e-01
6.000000e-02,9.967421e-01
7.000000e-02,9.955819e-01
8.000000e-02,9.942529e-01
9.000000e-02,9.927591e-01
1.000000e-01,9.911042e-01
1.100000e-01,9.892921e-01
1.200000e-01,9.873268e-01
1.300000e-01,9.852121e-01
1.400000e-01,9.829516e-01
1.500000e-01,9.805487e-01
1.600000e-01,9.780064e-01
1.700000e-01,9.753271e-01
1.800000e-01,9.725131e-01
1.900000e-01,9.695659e-01
2.000000e-01,9.664866e-01
2.100000e-01,9.632757e-01
2.200000e-01,9.599331e-01
2.300000e-01,9.564582e-01
2.400000e-01,9.528500e-01
2.500000e-01,9.491069e-01
2.600000e-01,9.452271e-01
2.700000e-01,9.412081e-01
2.800000e-01,9.370476e-01
2.900000e-01,9.327428e-01
3.000000e-01,9.282910e-01
3.100000e-01,9.236894e-01
3.200000e-01,9.189352e-01
3.300000e-01,9.140262e-01
3.400000e-01,9.089600e-01
3.500000e-01,9.037347e-01
3.600000e-01,8.983490e-01
3.700000e-01,8.928019e-01
3.800000e-01,8.870929e-01
3.900000e-01,8.812222e-01
4.000000e-01,8.751904e-01
4.100000e-01,8.689987e-01
4.200000e-01,8.626492e-01
4.300000e-01,8.561440e-01
4.400000e-01,8.494863e-01
4.500000e-01,8.426792e-01
4.600000e-01,8.357265e-01
4.700000e-01,8.286325e-01
4.800000e-01,8.214013e-01
4.900000e-01,8.140377e-01
5.000000e-01,8.065461e-01
5.100000e-01,7.989312e-01
5.200000e-01,7.911975e-01
5.300000e-01,7.833494e-01
5.400000e-01,7.753910e-01
5.500000e-01,7.673260e-01
5.600000e-01,7.591578e-01
5.700000e-01,7.508894e-01
5.800000e-01,7.425231e-01
5.900000e-01,7.340611e-01
6.000000e-01,7.255047e-01
6.100000e-01,7.168547e-01
6.200000e-01,7.081117e-01
6.300000e-01,6.992755e-01
6.400000e-01,6.903456e-01
6.500000e-01,6.813212e-01
6.600000e-01,6.722009e-01
6.700000e-01,6.629832e-01
6.800000e-01,6.536667e-01
6.900000e-01,6.442493e-01
7.000000e-01,6.347295e-01
7.100000e-01,6.251055e-01
7.200000e-01,6.153757e-01
7.300000e-01,6.055389e-01
7.400000e-01,5.955941e-01
7.500000e-01,5.855407e-01
7.600000e-01,5.753784e-01
7.700000e-01,5.651075e-01
7.800000e-01,5.547290e-01
7.900000e-01,5.442441e-01
8.000000e-01,5.336547e-01
8.100000e-01,5.229632e-01
8.200000e-01,5.121725e-01
8.300000e-01,5.012861e-01
8.400000e-01,4.903077e-01
8.500000e-01,4.792416e-01
8.600000e-01,4.680923e-01
8.700000e-01,4.568646e-01
8.800000e-01,4.455634e-01
8.900000e-01,4.341937e-01
9.000000e-01,4.227606e-01
9.100000e-01,4.112690e-01
9.200000e-01,3.997236e-01
9.300000e-01,3.881291e-01
9.400000e-01,3.764897e-01
9.500000e-01,3.648091e-01
9.600000e-01,3.530910e-01
9.700000e-01,3.413382e-01
9.800000e-01,3.295533e-01
9.900000e-01,3.177383e-01
1,3.058947e-01
1.010000e+00,2.940235e-01
1.020000e+00,2.821254e-01
1.030000e+00,2.702003e-01
1.040000e+00,2.582482e-01
1.050000e+00,2.462683e-01
1.060000e+00,2.342599e-01
1.070000e+00,2.222220e-01
1.080000e+00,2.101534e-01
1.090000e+00,1.980529e-01
1.100000e+00,1.859195e-01
1.110000e+00,1.737521e-01
1.120000e+00,1.615500e-01
1.130000e+00,1.493126e-01
1.140000e+00,1.370398e-01
1.150000e+00,1.247318e-01
1.160000e+00,1.123892e-01
1.170000e+00,1.000131e-01
1.180000e+00,8.760511e-02
1.190000e+00,7.516733e-02
1.200000e+00,6.270233e-02
1.210000e+00,5.021316e-02
1.220000e+00,3.770331e-02
1.230000e+00,2.517667e-02
