t,d1
1.901589e+01,394
1.908101e+01,3.932220e+02
1.914614e+01,393
1.921126e+01,3.923638e+02
1.927638e+01,3.914061e+02
1.934151e+01,3.903643e+02
1.940663e+01,3.893767e+02
1.947175e+01,3.884542e+02
1.953687e+01,3.875558e+02
1.960200e+01,3.866884e+02
1.966712e+01,386
1.973224e+01,3.858886e+02
1.979737e+01,3.846493e+02
1.986249e+01,3.815482e+02
1.992761e+01,3.778579e+02
1.999273e+01,3.716117e+02
2.005786e+01,3.664328e+02
2.012298e+01,3.630160e+02
2.018810e+01,3.564648e+02
2.025323e+01,3.479713e+02
2.031835e+01,3.396697e+02
2.038347e+01,3.304115e+02
2.044859e+01,3.197111e+02
2.051372e+01,3.108650e+02
2.057884e+01,3.014032e+02
2.064396e+01,2.933744e+02
2.070909e+01,2.854744e+02
2.077421e+01,2.771020e+02
2.083933e+01,2.693185e+02
2.090446e+01,2.635094e+02
2.096958e+01,2.578775e+02
2.103470e+01,2.519531e+02
2.109982e+01,2.452176e+02
2.116495e+01,2.385233e+02
2.123007e+01,2.279927e+02
2.129519e+01,2.211888e+02
2.136032e+01,2.149286e+02
2.142544e+01,2.078402e+02
2.149056e+01,2.030389e+02
2.155568e+01,1.987040e+02
2.162081e+01,1.942888e+02
2.168593e+01,1.906700e+02
2.175105e+01,1.885153e+02
2.181618e+01,1.874649e+02
2.188130e+01,1.875113e+02
2.194642e+01,1.889081e+02
2.201154e+01,1.908041e+02
2.207667e+01,1.932953e+02
2.214179e+01,1.970023e+02
2.220691e+01,2.008891e+02
2.227204e+01,2.057169e+02
2.233716e+01,2.103969e+02
2.240228e+01,2.154127e+02
2.246741e+01,2.206005e+02
2.253253e+01,2.265881e+02
2.259765e+01,2.318239e+02
2.266277e+01,2.381784e+02
2.272790e+01,2.452430e+02
2.279302e+01,2.522883e+02
2.285814e+01,2.607013e+02
2.292327e+01,2.695998e+02
2.298839e+01,2.788468e+02
2.305351e+01,2.890720e+02
2.311863e+01,2.982443e+02
2.318376e+01,3.075367e+02
2.324888e+01,3.171911e+02
2.331400e+01,3.259134e+02
2.337913e+01,3.338658e+02
2.344425e+01,3.411678e+02
2.350937e+01,3.469220e+02
2.357449e+01,3.519040e+02
2.363962e+01,3.566925e+02
2.370474e+01,3.604670e+02
2.376986e+01,3.624206e+02
2.383499e+01,3.633427e+02
2.390011e+01,3.637014e+02
2.396523e+01,3.620662e+02
2.403036e+01,3.582040e+02
2.409548e+01,3.530013e+02
2.416060e+01,3.492999e+02
2.422572e+01,3.455791e+02
2.429085e+01,3.408762e+02
2.435597e+01,3.380448e+02
2.442109e+01,3.350419e+02
2.448622e+01,3.332407e+02
2.455134e+01,3.312665e+02
2.461646e+01,3.301178e+02
2.468158e+01,3.309288e+02
2.474671e+01,3.291878e+02
2.481183e+01,3.298286e+02
2.487695e+01,3.292097e+02
2.494208e+01,3.267130e+02
2.500720e+01,3.267809e+02
2.507232e+01,3.227232e+02
2.513744e+01,3.177239e+02
2.520257e+01,3.136924e+02
2.526769e+01,3.076551e+02
2.533281e+01,3.006533e+02
2.539794e+01,2.941822e+02
2.546306e+01,2.862379e+02
2.552818e+01,2.814969e+02
2.559331e+01,2.779828e+02
2.565843e+01,2.771259e+02
2.572355e+01,2.784814e+02
2.578867e+01,2.802687e+02
2.585380e+01,2.819579e+02
2.591892e+01,2.833228e+02
2.598404e+01,284
2.604917e+01,2.833807e+02
2.611429e+01,2.789871e+02
2.617941e+01,2.760711e+02
2.624453e+01,2.693024e+02
2.630966e+01,2.596679e+02
2.637478e+01,2.485026e+02
2.643990e+01,243
2.650503e+01,2.417707e+02
2.657015e+01,2.403423e+02
2.663527e+01,240
2.670039e+01,2.416405e+02
2.676552e+01,2.448693e+02
2.683064e+01,2.511282e+02
2.689576e+01,2.561783e+02
2.696089e+01,2.604905e+02
2.702601e+01,2.661389e+02
2.709113e+01,2.716593e+02
2.715625e+01,273
2.722138e+01,273
2.728650e+01,2.737658e+02
2.735162e+01,2.733865e+02
2.741675e+01,2.714680e+02
2.748187e+01,2.678857e+02
2.754699e+01,2.640803e+02
2.761212e+01,2.614458e+02
2.767724e+01,2.586898e+02
2.774236e+01,2.561259e+02
2.780748e+01,2.595992e+02
2.787261e+01,2.633886e+02
2.793773e+01,2.694730e+02
2.800285e+01,2.768650e+02
2.806798e+01,2.870740e+02
2.813310e+01,2.968712e+02
2.819822e+01,3.068471e+02
2.826334e+01,3.152236e+02
2.832847e+01,3.209325e+02
2.839359e+01,3.246539e+02
2.845871e+01,326
2.852384e+01,3.250353e+02
2.858896e+01,3.230758e+02
2.865408e+01,3.192113e+02
2.871920e+01,3.144269e+02
2.878433e+01,3.122047e+02
2.884945e+01,3.082643e+02
2.891457e+01,306
2.897970e+01,3.067111e+02
2.904482e+01,3.100330e+02
2.910994e+01,3.141459e+02
2.917507e+01,3.195980e+02
2.924019e+01,3.260090e+02
2.930531e+01,3.292415e+02
2.937043e+01,3.360407e+02
2.943556e+01,342
2.950068e+01,3.417810e+02
2.956580e+01,3.392916e+02
2.963093e+01,3.346431e+02
2.969605e+01,3.291972e+02
2.976117e+01,3.247861e+02
2.982629e+01,3.162447e+02
2.989142e+01,3.084299e+02
2.995654e+01,3.000877e+02
3.002166e+01,2.934135e+02
3.008679e+01,2.880934e+02
3.015191e+01,2.845367e+02
3.021703e+01,2.847719e+02
3.028215e+01,2.864457e+02
3.034728e+01,2.876806e+02
3.041240e+01,2.899728e+02
3.047752e+01,2.936168e+02
3.054265e+01,2.956878e+02
3.060777e+01,2.953065e+02
3.067289e+01,2.922793e+02
3.073802e+01,2.890863e+02
3.080314e+01,2.844584e+02
3.086826e+01,2.769190e+02
3.093338e+01,2.685220e+02
3.099851e+01,2.605600e+02
3.106363e+01,2.524476e+02
3.112875e+01,2.449316e+02
3.119388e+01,2.399904e+02
3.125900e+01,2.376508e+02
3.132412e+01,2.380192e+02
3.138924e+01,2.409997e+02
3.145437e+01,2.446911e+02
3.151949e+01,2.490146e+02
3.158461e+01,2.509489e+02
3.164974e+01,2.545079e+02
3.171486e+01,2.603177e+02
3.177998e+01,2.666876e+02
3.184510e+01,2.692874e+02
3.191023e+01,2.697472e+02
3.197535e+01,2.687801e+02
3.204047e+01,2.661038e+02
3.210560e+01,2.624231e+02
3.217072e+01,2.592944e+02
3.223584e+01,2.561528e+02
3.230097e+01,2.550427e+02
3.236609e+01,2.564584e+02
3.243121e+01,2.589332e+02
3.249633e+01,2.620548e+02
3.256146e+01,2.647311e+02
3.262658e+01,2.710303e+02
3.269170e+01,2.820574e+02
3.275683e+01,2.950751e+02
3.282195e+01,3.030948e+02
3.288707e+01,3.088393e+02
3.295219e+01,3.132504e+02
3.301732e+01,3.147841e+02
3.308244e+01,3.142472e+02
3.314756e+01,3.125284e+02
3.321269e+01,3.105765e+02
3.327781e+01,3.080644e+02
3.334293e+01,3.059060e+02
3.340805e+01,3.045485e+02
3.347318e+01,3.043538e+02
3.353830e+01,3.057864e+02
3.360342e+01,3.091566e+02
3.366855e+01,3.142980e+02
3.373367e+01,3.220669e+02
3.379879e+01,3.284137e+02
3.386392e+01,3.330610e+02
3.392904e+01,3.374025e+02
3.399416e+01,3.394587e+02
3.405928e+01,340
3.412441e+01,3.389271e+02
3.418953e+01,3.359983e+02
3.425465e+01,3.317461e+02
3.431978e+01,3.245069e+02
3.438490e+01,3.151428e+02
3.445002e+01,3.081915e+02
3.451514e+01,3.023652e+02
3.458027e+01,2.988841e+02
3.464539e+01,2.969297e+02
3.471051e+01,296
3.477564e+01,2.963892e+02
3.484076e+01,2.973400e+02
3.490588e+01,2.987502e+02
3.497100e+01,3.008309e+02
3.503613e+01,302
3.510125e+01,3.016775e+02
3.516637e+01,3.001388e+02
3.523150e+01,2.964527e+02
3.529662e+01,2.910640e+02
3.536174e+01,2.848739e+02
3.542686e+01,2.776629e+02
3.549199e+01,2.699409e+02
3.555711e+01,2.622099e+02
3.562223e+01,2.552635e+02
3.568736e+01,2.500458e+02
3.575248e+01,2.476931e+02
3.581760e+01,2.472338e+02
3.588273e+01,2.483109e+02
3.594785e+01,2.503210e+02
3.601297e+01,2.534621e+02
3.607809e+01,2.572184e+02
3.614322e+01,2.606916e+02
3.620834e+01,2.635431e+02
3.627346e+01,2.647893e+02
3.633859e+01,265
3.640371e+01,2.634466e+02
3.646883e+01,2.613603e+02
3.653395e+01,2.578262e+02
3.659908e+01,2.549009e+02
3.666420e+01,2.520363e+02
3.672932e+01,2.496774e+02
3.679445e+01,249
3.685957e+01,2.504553e+02
3.692469e+01,2.537648e+02
3.698981e+01,2.599602e+02
3.705494e+01,2.679896e+02
