t,d1
0,1
1.059574e-02,9.983553e-01
2.059574e-02,9.967105e-01
3.059574e-02,9.950658e-01
4.059574e-02,9.934211e-01
5.059574e-02,9.917763e-01
6.059574e-02,9.901316e-01
7.059574e-02,9.885310e-01
8.059574e-02,9.869599e-01
9.059574e-02,9.853888e-01
1.005957e-01,9.838178e-01
1.105957e-01,9.822467e-01
1.205957e-01,9.806756e-01
1.305957e-01,9.791045e-01
1.405957e-01,9.746411e-01
1.505957e-01,9.698565e-01
1.605957e-01,9.650718e-01
1.705957e-01,9.602871e-01
1.805957e-01,9.555024e-01
1.905957e-01,9.507177e-01
2.005957e-01,9.454545e-01
2.105957e-01,9.390750e-01
2.205957e-01,9.326954e-01
2.305957e-01,9.263158e-01
2.405957e-01,9.199362e-01
2.505957e-01,9.135566e-01
2.605957e-01,9.071770e-01
2.705957e-01,9.019139e-01
2.805957e-01,8.971292e-01
2.905957e-01,8.923445e-01
3.005957e-01,8.875598e-01
3.105957e-01,8.827751e-01
3.205957e-01,8.779904e-01
3.305957e-01,8.727921e-01
3.405957e-01,8.638715e-01
3.505957e-01,8.549509e-01
3.605957e-01,8.460303e-01
3.705957e-01,8.371097e-01
3.805957e-01,8.281891e-01
3.905957e-01,8.187560e-01
4.005957e-01,8.072727e-01
4.105957e-01,7.957895e-01
4.205957e-01,7.843062e-01
4.305957e-01,7.728230e-01
4.405957e-01,7.613397e-01
4.505957e-01,7.495756e-01
4.605957e-01,7.376910e-01
4.705957e-01,7.258065e-01
4.805957e-01,7.139219e-01
4.905957e-01,7.020374e-01
5.005957e-01,6.901528e-01
5.105957e-01,6.798246e-01
5.205957e-01,6.710526e-01
5.305957e-01,6.622807e-01
5.405957e-01,6.535088e-01
5.505957e-01,6.447368e-01
5.605957e-01,6.359649e-01
5.705957e-01,6.271930e-01
5.805957e-01,6.184211e-01
5.905957e-01,6.095306e-01
6.005957e-01,5.995733e-01
6.105957e-01,5.896159e-01
6.205957e-01,5.796586e-01
6.305957e-01,5.697013e-01
6.405957e-01,5.597440e-01
6.505957e-01,5.497866e-01
6.605957e-01,5.398293e-01
6.705957e-01,5.327485e-01
6.805957e-01,5.269006e-01
6.905957e-01,5.210526e-01
7.005957e-01,5.152047e-01
7.105957e-01,5.093567e-01
7.205957e-01,5.035088e-01
7.305957e-01,4.976608e-01
7.405957e-01,4.887218e-01
7.505957e-01,4.766917e-01
7.605957e-01,4.646617e-01
7.705957e-01,4.526316e-01
7.805957e-01,4.406015e-01
7.905957e-01,4.285714e-01
8.005957e-01,4.165414e-01
8.105957e-01,4.016308e-01
8.205957e-01,3.838399e-01
8.305957e-01,3.660489e-01
8.405957e-01,3.482580e-01
8.505957e-01,3.304670e-01
8.605957e-01,3.126761e-01
8.705957e-01,2.948851e-01
8.805957e-01,2.792570e-01
8.905957e-01,2.668731e-01
9.005957e-01,2.544892e-01
9.105957e-01,2.421053e-01
9.205957e-01,2.297214e-01
9.305957e-01,2.173375e-01
9.405957e-01,2.049536e-01
9.505957e-01,1.931721e-01
9.605957e-01,1.817923e-01
9.705957e-01,1.704125e-01
9.805957e-01,1.590327e-01
9.905957e-01,1.476529e-01
1.000596e+00,1.362731e-01
1.010596e+00,1.248933e-01
1.020596e+00,1.137102e-01
1.030596e+00,1.033138e-01
1.040596e+00,9.291748e-02
1.050596e+00,8.252112e-02
1.060596e+00,7.212476e-02
1.070596e+00,6.172840e-02
1.080596e+00,5.133203e-02
1.090596e+00,4.093567e-02
1.100596e+00,3.044097e-02
1.110596e+00,1.906117e-02
1.120596e+00,7.681366e-03
1.130596e+00,-3.698435e-03
1.140596e+00,-1.507824e-02
1.150596e+00,-2.645804e-02
1.160596e+00,-3.783784e-02
1.170596e+00,-4.921764e-02
1.180596e+00,-6.142969e-02
1.190596e+00,-7.399843e-02
1.200596e+00,-8.656716e-02
1.210596e+00,-9.913590e-02
1.220596e+00,-1.117046e-01
1.230596e+00,-1.242734e-01
1.240596e+00,-1.368421e-01
1.250596e+00,-1.465374e-01
1.260596e+00,-1.562327e-01
1.270596e+00,-1.659280e-01
1.280596e+00,-1.756233e-01
1.290596e+00,-1.853186e-01
1.300596e+00,-1.950139e-01
1.310596e+00,-2.047091e-01
1.320596e+00,-2.171745e-01
1.330596e+00,-2.337950e-01
1.340596e+00,-2.504155e-01
1.350596e+00,-2.670360e-01
1.360596e+00,-2.836565e-01
1.370596e+00,-3.002770e-01
1.380596e+00,-3.168975e-01
1.390596e+00,-3.335180e-01
1.400596e+00,-3.459459e-01
1.410596e+00,-3.573257e-01
1.420596e+00,-3.687055e-01
1.430596e+00,-3.800853e-01
1.440596e+00,-3.914651e-01
1.450596e+00,-4.028450e-01
1.460596e+00,-4.142248e-01
1.470596e+00,-4.256669e-01
1.480596e+00,-4.372026e-01
1.490596e+00,-4.487383e-01
1.500596e+00,-4.602740e-01
1.510596e+00,-4.718097e-01
1.520596e+00,-4.833453e-01
1.530596e+00,-4.948810e-01
1.540596e+00,-5.062865e-01
1.550596e+00,-5.165205e-01
1.560596e+00,-5.267544e-01
1.570596e+00,-5.369883e-01
1.580596e+00,-5.472222e-01
1.590596e+00,-5.574561e-01
1.600596e+00,-5.676901e-01
1.610596e+00,-5.779240e-01
1.620596e+00,-5.907895e-01
1.630596e+00,-6.039474e-01
1.640596e+00,-6.171053e-01
1.650596e+00,-6.302632e-01
1.660596e+00,-6.434211e-01
1.670596e+00,-6.565789e-01
1.680596e+00,-6.697368e-01
1.690596e+00,-6.828947e-01
1.700596e+00,-6.901316e-01
1.710596e+00,-6.967105e-01
1.720596e+00,-7.032895e-01
1.730596e+00,-7.098684e-01
1.740596e+00,-7.164474e-01
1.750596e+00,-7.230263e-01
1.760596e+00,-7.296053e-01
1.770596e+00,-7.361842e-01
1.780596e+00,-7.432432e-01
1.790596e+00,-7.503556e-01
1.800596e+00,-7.574680e-01
