t,d1
1.278920e+01,384
1.284952e+01,3.839137e+02
1.290985e+01,3.829724e+02
1.297017e+01,3.820720e+02
1.303050e+01,3.794772e+02
1.309083e+01,3.759801e+02
1.315115e+01,3.729930e+02
1.321148e+01,3.687389e+02
1.327181e+01,3.626574e+02
1.333213e+01,3.559043e+02
1.339246e+01,3.503784e+02
1.345279e+01,3.451284e+02
1.351311e+01,3.396604e+02
1.357344e+01,3.363090e+02
1.363377e+01,3.297411e+02
1.369409e+01,3.203789e+02
1.375442e+01,3.119508e+02
1.381474e+01,3.051087e+02
1.387507e+01,2.987091e+02
1.393540e+01,2.927509e+02
1.399572e+01,2.863002e+02
1.405605e+01,2.793373e+02
1.411638e+01,2.730180e+02
1.417670e+01,2.663627e+02
1.423703e+01,2.568887e+02
1.429736e+01,2.503670e+02
1.435768e+01,2.437746e+02
1.441801e+01,2.375964e+02
1.447833e+01,2.310832e+02
1.453866e+01,2.237712e+02
1.459899e+01,2.200008e+02
1.465931e+01,2.160058e+02
1.471964e+01,2.125581e+02
1.477997e+01,2.097675e+02
1.484029e+01,2.074172e+02
1.490062e+01,2.044224e+02
1.496095e+01,2.021214e+02
1.502127e+01,2.005254e+02
1.508160e+01,199
1.514193e+01,199
1.520225e+01,199
1.526258e+01,2.002341e+02
1.532290e+01,2.017370e+02
1.538323e+01,2.030943e+02
1.544356e+01,2.056433e+02
1.550388e+01,2.089230e+02
1.556421e+01,2.130754e+02
1.562454e+01,2.188374e+02
1.568486e+01,2.248290e+02
1.574519e+01,2.296731e+02
1.580552e+01,2.346314e+02
1.586584e+01,2.402823e+02
1.592617e+01,2.459357e+02
1.598649e+01,2.515324e+02
1.604682e+01,2.572169e+02
1.610715e+01,2.637428e+02
1.616747e+01,2.745475e+02
1.622780e+01,2.818000e+02
1.628813e+01,2.887287e+02
1.634845e+01,2.955581e+02
1.640878e+01,3.030608e+02
1.646911e+01,3.109669e+02
1.652943e+01,3.182861e+02
1.658976e+01,3.257246e+02
1.665008e+01,3.345725e+02
1.671041e+01,3.394736e+02
1.677074e+01,3.432020e+02
1.683106e+01,3.470197e+02
1.689139e+01,3.524347e+02
1.695172e+01,3.587952e+02
1.701204e+01,3.622225e+02
1.707237e+01,3.648840e+02
1.713270e+01,3.683447e+02
1.719302e+01,3.709351e+02
1.725335e+01,3.729013e+02
1.731368e+01,3.748554e+02
1.737400e+01,3.771572e+02
1.743433e+01,3.780184e+02
1.749465e+01,3.788563e+02
1.755498e+01,379
1.761531e+01,3.785545e+02
1.767563e+01,3.775102e+02
1.773596e+01,3.757708e+02
1.779629e+01,3.734505e+02
1.785661e+01,3.711303e+02
1.791694e+01,3.687123e+02
1.797727e+01,3.651981e+02
1.803759e+01,3.613668e+02
1.809792e+01,3.570059e+02
1.815824e+01,3.519796e+02
1.821857e+01,3.457332e+02
1.827890e+01,3.391225e+02
1.833922e+01,3.324196e+02
1.839955e+01,3.242534e+02
1.845988e+01,3.168380e+02
1.852020e+01,3.101603e+02
1.858053e+01,3.021795e+02
1.864086e+01,2.936134e+02
1.870118e+01,2.879795e+02
1.876151e+01,2.811821e+02
1.882184e+01,2.742220e+02
1.888216e+01,2.655318e+02
1.894249e+01,2.576604e+02
1.900281e+01,2.513812e+02
1.906314e+01,2.453564e+02
1.912347e+01,2.396378e+02
1.918379e+01,2.347465e+02
1.924412e+01,2.299642e+02
1.930445e+01,2.258386e+02
1.936477e+01,2.221171e+02
1.942510e+01,2.182501e+02
1.948543e+01,2.128704e+02
1.954575e+01,2.093203e+02
1.960608e+01,2.068050e+02
1.966640e+01,2.045739e+02
1.972673e+01,2.030070e+02
1.978706e+01,2.021420e+02
1.984738e+01,202
1.990771e+01,2.024207e+02
1.996804e+01,2.036937e+02
2.002836e+01,2.060094e+02
2.008869e+01,2.075763e+02
2.014902e+01,2.107947e+02
2.020934e+01,2.137226e+02
2.026967e+01,2.171977e+02
2.033000e+01,2.214335e+02
2.039032e+01,2.243408e+02
2.045065e+01,2.277121e+02
2.051097e+01,2.312054e+02
2.057130e+01,2.346724e+02
2.063163e+01,2.397799e+02
2.069195e+01,2.466604e+02
2.075228e+01,2.534787e+02
2.081261e+01,2.578775e+02
2.087293e+01,2.662114e+02
2.093326e+01,2.747334e+02
2.099359e+01,2.824529e+02
2.105391e+01,2.932217e+02
2.111424e+01,3.002160e+02
2.117456e+01,3.103156e+02
2.123489e+01,3.183601e+02
2.129522e+01,3.250534e+02
2.135554e+01,3.312010e+02
2.141587e+01,3.371348e+02
2.147620e+01,3.430190e+02
2.153652e+01,3.479948e+02
2.159685e+01,3.521161e+02
2.165718e+01,3.563981e+02
2.171750e+01,3.610291e+02
2.177783e+01,3.645263e+02
2.183815e+01,3.675236e+02
2.189848e+01,3.701330e+02
2.195881e+01,3.721883e+02
2.201913e+01,3.739467e+02
2.207946e+01,3.753008e+02
2.213979e+01,376
2.220011e+01,376
2.226044e+01,3.751009e+02
2.232077e+01,3.733198e+02
2.238109e+01,3.714098e+02
2.244142e+01,3.664839e+02
2.250175e+01,3.643220e+02
2.256207e+01,3.613952e+02
2.262240e+01,3.575648e+02
2.268272e+01,3.536934e+02
2.274305e+01,3.489642e+02
2.280338e+01,3.442370e+02
2.286370e+01,3.397972e+02
2.292403e+01,3.352728e+02
2.298436e+01,3.300585e+02
2.304468e+01,3.249028e+02
2.310501e+01,3.195343e+02
2.316534e+01,3.130090e+02
2.322566e+01,3.047219e+02
2.328599e+01,2.984191e+02
2.334631e+01,2.912759e+02
2.340664e+01,2.852399e+02
2.346697e+01,2.788346e+02
2.352729e+01,2.721953e+02
2.358762e+01,2.658702e+02
2.364795e+01,2.600052e+02
2.370827e+01,2.535091e+02
2.376860e+01,2.471911e+02
2.382893e+01,2.389093e+02
2.388925e+01,2.324483e+02
2.394958e+01,2.273727e+02
2.400991e+01,2.232831e+02
2.407023e+01,2.199165e+02
2.413056e+01,2.166279e+02
2.419088e+01,2.140050e+02
2.425121e+01,2.123275e+02
2.431154e+01,2.105511e+02
2.437186e+01,2.093459e+02
2.443219e+01,2.084033e+02
2.449252e+01,2.074607e+02
2.455284e+01,207
2.461317e+01,207
2.467350e+01,2.072680e+02
2.473382e+01,2.082889e+02
2.479415e+01,2.100786e+02
2.485447e+01,2.122857e+02
2.491480e+01,2.151474e+02
2.497513e+01,2.183582e+02
2.503545e+01,2.219679e+02
2.509578e+01,2.270641e+02
2.515611e+01,2.320225e+02
2.521643e+01,2.404512e+02
2.527676e+01,2.471024e+02
2.533709e+01,2.531265e+02
2.539741e+01,2.588720e+02
2.545774e+01,2.644354e+02
2.551806e+01,2.707381e+02
2.557839e+01,2.770375e+02
2.563872e+01,2.828222e+02
2.569904e+01,2.880037e+02
2.575937e+01,2.937440e+02
2.581970e+01,3.005319e+02
2.588002e+01,3.074730e+02
2.594035e+01,3.146370e+02
2.600068e+01,3.238636e+02
2.606100e+01,3.310590e+02
2.612133e+01,3.364329e+02
2.618166e+01,3.424655e+02
2.624198e+01,3.479237e+02
2.630231e+01,3.505583e+02
2.636263e+01,3.547011e+02
2.642296e+01,3.599964e+02
2.648329e+01,3.636178e+02
2.654361e+01,3.654248e+02
2.660394e+01,3.663700e+02
2.666427e+01,3.673667e+02
2.672459e+01,3.683932e+02
2.678492e+01,369
2.684525e+01,3.685861e+02
2.690557e+01,368
2.696590e+01,3.677157e+02
2.702622e+01,3.668518e+02
2.708655e+01,3.659508e+02
2.714688e+01,3.640356e+02
2.720720e+01,3.620589e+02
2.726753e+01,3.591215e+02
2.732786e+01,3.563297e+02
2.738818e+01,3.528249e+02
2.744851e+01,3.485802e+02
2.750884e+01,3.441018e+02
2.756916e+01,3.389848e+02
2.762949e+01,3.328840e+02
2.768982e+01,3.264074e+02
2.775014e+01,3.201858e+02
2.781047e+01,3.140439e+02
2.787079e+01,3.071507e+02
2.793112e+01,2.996419e+02
2.799145e+01,2.927192e+02
2.805177e+01,2.857931e+02
2.811210e+01,2.788000e+02
2.817243e+01,2.730546e+02
2.823275e+01,2.703245e+02
2.829308e+01,2.656963e+02
2.835341e+01,2.603057e+02
2.841373e+01,2.545970e+02
2.847406e+01,2.491664e+02
2.853438e+01,2.441538e+02
2.859471e+01,2.393095e+02
2.865504e+01,2.339189e+02
2.871536e+01,2.292059e+02
2.877569e+01,2.244214e+02
2.883602e+01,2.200702e+02
2.889634e+01,2.163714e+02
2.895667e+01,2.134057e+02
2.901700e+01,2.111112e+02
2.907732e+01,2.096276e+02
2.913765e+01,209
