t1,d1,v1,d2,v2,u,u_max
0,1.403245e+00,0,1.615302e+00,0,0,8.645810e+00
1.000000e-02,1.403116e+00,-2.565994e-02,1.615174e+00,-2.567951e-02,0,8.605532e+00
2.000000e-02,1.402732e+00,-5.121721e-02,1.614789e+00,-5.135295e-02,0,8.563833e+00
3.000000e-02,1.402093e+00,-7.658790e-02,1.614147e+00,-7.702016e-02,0,8.520853e+00
4.000000e-02,1.401201e+00,-1.016928e-01,1.613248e+00,-1.026808e-01,0,8.476726e+00
5.000000e-02,1.400060e+00,-1.264594e-01,1.612093e+00,-1.283340e-01,0,8.431583e+00
6.000000e-02,1.398673e+00,-1.508235e-01,1.610682e+00,-1.539788e-01,0,8.385545e+00
7.000000e-02,1.397045e+00,-1.747308e-01,1.609014e+00,-1.796134e-01,0,8.338723e+00
8.000000e-02,1.395180e+00,-1.981385e-01,1.607089e+00,-2.052359e-01,0,8.291212e+00
9.000000e-02,1.393084e+00,-2.210155e-01,1.604909e+00,-2.308433e-01,0,8.243092e+00
1.000000e-01,1.390762e+00,-2.433439e-01,1.602473e+00,-2.564323e-01,0,8.194423e+00
1.100000e-01,1.388219e+00,-2.651189e-01,1.599780e+00,-2.819990e-01,0,8.145247e+00
1.200000e-01,1.385461e+00,-2.863487e-01,1.596833e+00,-3.075386e-01,0,8.095586e+00
1.300000e-01,1.382494e+00,-3.070545e-01,1.593630e+00,-3.330459e-01,0,8.045439e+00
1.400000e-01,1.379322e+00,-3.272694e-01,1.590172e+00,-3.585149e-01,0,7.994787e+00
1.500000e-01,1.375950e+00,-3.470381e-01,1.586460e+00,-3.839394e-01,0,7.943590e+00
1.600000e-01,1.372382e+00,-3.664147e-01,1.582493e+00,-4.093123e-01,0,7.891791e+00
1.700000e-01,1.368623e+00,-3.854620e-01,1.578274e+00,-4.346265e-01,0,7.839316e+00
1.800000e-01,1.364674e+00,-4.042493e-01,1.573801e+00,-4.598743e-01,0,7.786075e+00
1.900000e-01,1.360538e+00,-4.228507e-01,1.569076e+00,-4.850479e-01,0,7.731969e+00
2.000000e-01,1.356217e+00,-4.413430e-01,1.564100e+00,-5.101393e-01,0,7.676889e+00
2.100000e-01,1.351711e+00,-4.598039e-01,1.558874e+00,-5.351406e-01,0,7.620718e+00
2.200000e-01,1.347021e+00,-4.783094e-01,1.553398e+00,-5.600440e-01,0,7.563341e+00
2.300000e-01,1.342145e+00,-4.969323e-01,1.547673e+00,-5.848416e-01,0,7.504640e+00
2.400000e-01,1.337082e+00,-5.157398e-01,1.541701e+00,-6.095262e-01,0,7.444502e+00
2.500000e-01,1.331829e+00,-5.347923e-01,1.535483e+00,-6.340907e-01,0,7.382821e+00
2.600000e-01,1.326385e+00,-5.541409e-01,1.529020e+00,-6.585284e-01,0,7.319501e+00
2.700000e-01,1.320745e+00,-5.738270e-01,1.522313e+00,-6.828334e-01,0,7.254460e+00
2.800000e-01,1.314907e+00,-5.938804e-01,1.515364e+00,-7.070001e-01,0,7.187629e+00
2.900000e-01,1.308866e+00,-6.143192e-01,1.508174e+00,-7.310237e-01,0,7.118958e+00
3.000000e-01,1.302619e+00,-6.351483e-01,1.500744e+00,-7.549000e-01,0,7.048415e+00
3.100000e-01,1.296162e+00,-6.563605e-01,1.493076e+00,-7.786252e-01,0,6.975987e+00
3.200000e-01,1.289491e+00,-6.779355e-01,1.485172e+00,-8.021966e-01,0,6.901683e+00
3.300000e-01,1.282602e+00,-6.998411e-01,1.477033e+00,-8.256118e-01,0,6.825530e+00
3.400000e-01,1.275493e+00,-7.220336e-01,1.468660e+00,-8.488691e-01,0,6.747577e+00
3.500000e-01,1.268161e+00,-7.444590e-01,1.460056e+00,-8.719672e-01,0,6.667890e+00
3.600000e-01,1.260604e+00,-7.670545e-01,1.451221e+00,-8.949055e-01,0,6.586555e+00
3.700000e-01,1.252820e+00,-7.897499e-01,1.442158e+00,-9.176835e-01,0,6.503670e+00
3.800000e-01,1.244808e+00,-8.124691e-01,1.432868e+00,-9.403014e-01,0,6.419350e+00
3.900000e-01,1.236570e+00,-8.351324e-01,1.423353e+00,-9.627591e-01,0,6.333716e+00
4.000000e-01,1.228106e+00,-8.576585e-01,1.413613e+00,-9.850571e-01,0,6.246902e+00
4.100000e-01,1.219418e+00,-8.799661e-01,1.403652e+00,-1.007196e+00,0,6.159042e+00
4.200000e-01,1.210508e+00,-9.019763e-01,1.393470e+00,-1.029175e+00,0,6.070274e+00
4.300000e-01,1.201380e+00,-9.236141e-01,1.383069e+00,-1.050995e+00,0,5.980734e+00
4.400000e-01,1.192037e+00,-9.448110e-01,1.372451e+00,-1.072655e+00,0,5.890552e+00
4.500000e-01,1.182485e+00,-9.655057e-01,1.361617e+00,-1.094156e+00,0,5.799853e+00
4.600000e-01,1.172729e+00,-9.856464e-01,1.350568e+00,-1.115495e+00,0,5.708748e+00
4.700000e-01,1.162774e+00,-1.005191e+00,1.339307e+00,-1.136673e+00,0,5.617336e+00
4.800000e-01,1.152627e+00,-1.024111e+00,1.327835e+00,-1.157685e+00,0,5.525703e+00
4.900000e-01,1.142294e+00,-1.042386e+00,1.316154e+00,-1.178531e+00,0,5.433915e+00
5.000000e-01,1.131782e+00,-1.060012e+00,1.304265e+00,-1.199206e+00,0,5.342021e+00
5.100000e-01,1.121096e+00,-1.076994e+00,1.292170e+00,-1.219707e+00,0,5.250050e+00
5.200000e-01,1.110244e+00,-1.093351e+00,1.279872e+00,-1.240030e+00,0,5.158014e+00
