L1,L2,m1,m2,dd1,st,pr
8.100000e-01,8.100000e-01,5,5,4.147983e-02,1.900000e+00,2.183149e-02
8.100000e-01,8.100000e-01,5,10,2.815338e-02,1.780000e+00,1.581651e-02
8.100000e-01,8.100000e-01,5,15,3.627312e-02,1.530000e+00,2.370792e-02
8.100000e-01,8.100000e-01,5,20,5.188429e-02,1.630000e+00,3.183085e-02
8.100000e-01,8.100000e-01,5,25,4.487767e-02,1.970000e+00,2.278055e-02
8.100000e-01,8.100000e-01,5,30,5.117528e-02,1.920000e+00,2.665379e-02
8.100000e-01,8.100000e-01,5,35,4.845077e-02,2.100000e+00,2.307179e-02
8.100000e-01,8.100000e-01,5,40,4.530863e-02,1.950000e+00,2.323520e-02
8.100000e-01,8.100000e-01,5,45,5.356351e-02,1.960000e+00,2.732832e-02
8.100000e-01,8.100000e-01,5,50,4.972302e-02,1.980000e+00,2.511263e-02
8.100000e-01,8.100000e-01,5,55,4.653936e-02,2.030000e+00,2.292579e-02
8.100000e-01,8.100000e-01,5,60,5.127056e-02,1.900000e+00,2.698451e-02
8.100000e-01,8.100000e-01,5,65,5.175178e-02,1.990000e+00,2.600592e-02
8.100000e-01,8.100000e-01,5,70,5.191741e-02,2.000000e+00,2.595870e-02
8.100000e-01,8.100000e-01,5,75,4.908914e-02,2.130000e+00,2.304654e-02
8.100000e-01,8.100000e-01,5,80,4.876141e-02,1.880000e+00,2.593692e-02
8.100000e-01,8.100000e-01,5,85,4.961974e-02,1.850000e+00,2.682148e-02
8.100000e-01,8.100000e-01,5,90,5.303722e-02,2,2.651861e-02
8.100000e-01,8.100000e-01,5,95,4.959849e-02,1.990000e+00,2.492386e-02
8.100000e-01,8.100000e-01,5,100,4.752537e-02,1.750000e+00,2.715735e-02
8.100000e-01,8.100000e-01,5,105,5.052185e-02,1.900000e+00,2.659045e-02
8.100000e-01,8.100000e-01,5,110,5.083275e-02,1.880000e+00,2.703870e-02
8.100000e-01,8.100000e-01,5,115,5.344491e-02,1.880000e+00,2.842815e-02
8.100000e-01,8.100000e-01,5,120,5.280262e-02,2.020000e+00,2.613991e-02
8.100000e-01,8.100000e-01,5,125,5.139502e-02,2.020000e+00,2.544308e-02
8.100000e-01,8.100000e-01,5,130,5.193941e-02,1.950000e+00,2.663560e-02
8.100000e-01,8.100000e-01,5,135,5.086302e-02,1.930000e+00,2.635389e-02
8.100000e-01,8.100000e-01,5,140,5.319028e-02,1.910000e+00,2.784831e-02
8.100000e-01,8.100000e-01,5,145,5.178198e-02,1.890000e+00,2.739787e-02
8.100000e-01,8.100000e-01,5,150,5.106492e-02,2.040000e+00,2.503182e-02
8.100000e-01,8.100000e-01,5,155,4.973510e-02,2.020000e+00,2.462134e-02
8.100000e-01,8.100000e-01,5,160,5.249191e-02,1.810000e+00,2.900106e-02
8.100000e-01,8.100000e-01,5,165,5.517850e-02,1.800000e+00,3.065472e-02
8.100000e-01,8.100000e-01,5,170,5.260943e-02,1.950000e+00,2.697920e-02
8.100000e-01,8.100000e-01,5,175,5.165359e-02,1.930000e+00,2.676352e-02
8.100000e-01,8.100000e-01,5,180,5.175728e-02,1.910000e+00,2.709805e-02
8.100000e-01,8.100000e-01,5,185,5.193065e-02,1.890000e+00,2.747653e-02
8.100000e-01,8.100000e-01,5,190,4.856803e-02,2.030000e+00,2.392514e-02
8.100000e-01,8.100000e-01,5,195,4.968913e-02,1.830000e+00,2.715253e-02
8.100000e-01,8.100000e-01,5,200,5.325036e-02,1.830000e+00,2.909855e-02
8.100000e-01,8.100000e-01,5,205,5.302499e-02,1.970000e+00,2.691624e-02
8.100000e-01,8.100000e-01,5,210,5.275647e-02,1.960000e+00,2.691657e-02
8.100000e-01,8.100000e-01,5,215,5.267743e-02,1.930000e+00,2.729401e-02
8.100000e-01,8.100000e-01,5,220,5.308330e-02,1.910000e+00,2.779230e-02
8.100000e-01,8.100000e-01,5,225,5.461888e-02,1.910000e+00,2.859627e-02
8.100000e-01,8.100000e-01,5,230,5.096279e-02,1.890000e+00,2.696444e-02
8.100000e-01,8.100000e-01,5,235,5.286309e-02,1.870000e+00,2.826903e-02
8.100000e-01,8.100000e-01,5,240,5.445127e-02,1.850000e+00,2.943312e-02
8.100000e-01,8.100000e-01,5,245,5.722826e-02,1.840000e+00,3.110231e-02
8.100000e-01,8.100000e-01,5,250,5.509479e-02,1.980000e+00,2.782565e-02
8.100000e-01,8.100000e-01,5,255,5.394743e-02,1.970000e+00,2.738448e-02
8.100000e-01,8.100000e-01,5,260,5.508498e-02,1.960000e+00,2.810458e-02
8.100000e-01,8.100000e-01,5,265,5.504528e-02,1.940000e+00,2.837385e-02
8.100000e-01,8.100000e-01,5,270,5.378926e-02,1.910000e+00,2.816192e-02
8.100000e-01,8.100000e-01,5,275,5.343300e-02,1.890000e+00,2.827143e-02
8.100000e-01,8.100000e-01,5,280,5.517194e-02,1.890000e+00,2.919150e-02
8.100000e-01,8.100000e-01,5,285,5.625927e-02,1.880000e+00,2.992514e-02
8.100000e-01,8.100000e-01,5,290,5.655280e-02,1.860000e+00,3.040473e-02
8.100000e-01,8.100000e-01,5,295,5.338162e-02,1.980000e+00,2.696041e-02
8.100000e-01,8.100000e-01,5,300,5.354210e-02,1.980000e+00,2.704147e-02
8.100000e-01,8.100000e-01,5,305,5.472848e-02,1.960000e+00,2.792269e-02
8.100000e-01,8.100000e-01,5,310,5.569635e-02,1.810000e+00,3.077147e-02
8.100000e-01,8.100000e-01,5,315,5.430966e-02,1.920000e+00,2.828628e-02
8.100000e-01,8.100000e-01,5,320,5.461058e-02,1.920000e+00,2.844301e-02
8.100000e-01,8.100000e-01,5,325,5.357218e-02,1.910000e+00,2.804826e-02
8.100000e-01,8.100000e-01,5,330,5.385403e-02,1.910000e+00,2.819583e-02
8.100000e-01,8.100000e-01,5,335,5.324050e-02,2,2.662025e-02
8.100000e-01,8.100000e-01,5,340,5.364574e-02,2.000000e+00,2.682287e-02
8.100000e-01,8.100000e-01,5,345,5.437796e-02,1.990000e+00,2.732561e-02
8.100000e-01,8.100000e-01,5,350,5.363895e-02,1.980000e+00,2.709038e-02
8.100000e-01,8.100000e-01,5,355,5.262748e-02,1.970000e+00,2.671446e-02
8.100000e-01,8.100000e-01,5,360,5.305138e-02,1.840000e+00,2.883227e-02
8.100000e-01,8.100000e-01,5,365,5.263212e-02,1.930000e+00,2.727053e-02
8.100000e-01,8.100000e-01,5,370,5.432883e-02,1.930000e+00,2.814965e-02
8.100000e-01,8.100000e-01,5,375,5.458083e-02,1.930000e+00,2.828022e-02
8.100000e-01,8.100000e-01,5,380,5.449375e-02,1.920000e+00,2.838216e-02
8.100000e-01,8.100000e-01,5,385,5.400857e-02,2.020000e+00,2.673691e-02
8.100000e-01,8.100000e-01,5,390,5.402669e-02,2.000000e+00,2.701335e-02
8.100000e-01,8.100000e-01,5,395,5.443095e-02,2.000000e+00,2.721547e-02
8.100000e-01,8.100000e-01,5,400,5.418542e-02,1.990000e+00,2.722885e-02
8.100000e-01,8.100000e-01,5,405,5.455106e-02,1.880000e+00,2.901652e-02
8.100000e-01,8.100000e-01,5,410,5.286484e-02,1.960000e+00,2.697186e-02
