t1,d1,v1,u,u_max
0,9.354965E-01,0,0,5.814111E+00
1E-02,9.354109E-01,-1.710662E-02,0,5.789749E+00
2E-02,9.351546E-01,-3.414481E-02,0,5.764422E+00
3E-02,9.347284E-01,-5.10586E-02,0,5.738213E+00
4E-02,9.34134E-01,-6.779521E-02,0,5.711204E+00
5E-02,9.333733E-01,-8.430626E-02,0,5.683476E+00
6E-02,9.324488E-01,-1.00549E-01,0,5.655104E+00
7E-02,9.313633E-01,-1.164872E-01,0,5.626156E+00
8E-02,9.301201E-01,-1.320923E-01,0,5.596692E+00
9E-02,9.287226E-01,-1.473437E-01,0,5.566762E+00
1E-01,9.271745E-01,-1.622293E-01,0,5.536404E+00
1.1E-01,9.254793E-01,-1.767459E-01,0,5.505647E+00
1.2E-01,9.236408E-01,-1.908991E-01,0,5.474505E+00
1.3E-01,9.216625E-01,-2.04703E-01,0,5.442981E+00
1.4E-01,9.195478E-01,-2.181796E-01,0,5.411065E+00
1.5E-01,9.172999E-01,-2.313587E-01,0,5.378736E+00
1.6E-01,9.149215E-01,-2.442765E-01,0,5.34596E+00
1.7E-01,9.124151E-01,-2.569747E-01,0,5.312694E+00
1.8E-01,9.097826E-01,-2.694995E-01,0,5.278886E+00
1.9E-01,9.070255E-01,-2.819005E-01,0,5.244476E+00
2E-01,9.041448E-01,-2.942287E-01,0,5.209399E+00
2.1E-01,9.01141E-01,-3.065359E-01,0,5.173587E+00
2.2E-01,8.98014E-01,-3.188729E-01,0,5.136967E+00
2.3E-01,8.947633E-01,-3.312882E-01,0,5.099469E+00
2.4E-01,8.913878E-01,-3.438266E-01,0,5.061025E+00
2.5E-01,8.878862E-01,-3.565282E-01,0,5.021569E+00
2.6E-01,8.842566E-01,-3.694273E-01,0,4.981043E+00
2.7E-01,8.804969E-01,-3.825513E-01,0,4.939394E+00
2.8E-01,8.766048E-01,-3.959203E-01,0,4.896582E+00
2.9E-01,8.725776E-01,-4.095461E-01,0,4.852572E+00
3E-01,8.68413E-01,-4.234322E-01,0,4.807346E+00
3.1E-01,8.641081E-01,-4.375737E-01,0,4.760892E+00
3.2E-01,8.596607E-01,-4.51957E-01,0,4.713215E+00
3.3E-01,8.550683E-01,-4.665607E-01,0,4.66433E+00
3.4E-01,8.503288E-01,-4.813557E-01,0,4.614265E+00
3.5E-01,8.454406E-01,-4.96306E-01,0,4.563059E+00
3.6E-01,8.404023E-01,-5.113697E-01,0,4.510763E+00
3.7E-01,8.35213E-01,-5.264999E-01,0,4.457435E+00
3.8E-01,8.298723E-01,-5.41646E-01,0,4.403143E+00
3.9E-01,8.243802E-01,-5.567549E-01,0,4.347963E+00
4E-01,8.187375E-01,-5.717723E-01,0,4.291975E+00
4.1E-01,8.129453E-01,-5.866441E-01,0,4.23526E+00
4.2E-01,8.070053E-01,-6.013175E-01,0,4.177902E+00
4.3E-01,8.009197E-01,-6.157427E-01,0,4.119987E+00
4.4E-01,7.946914E-01,-6.29874E-01,0,4.061593E+00
4.5E-01,7.883234E-01,-6.436705E-01,0,4.002797E+00
4.6E-01,7.818192E-01,-6.570976E-01,0,3.94367E+00
4.7E-01,7.751828E-01,-6.701276E-01,0,3.884273E+00
4.8E-01,7.684181E-01,-6.827405E-01,0,3.824661E+00
4.9E-01,7.615294E-01,-6.949241E-01,0,3.764876E+00
5E-01,7.54521E-01,-7.066744E-01,0,3.704951E+00
5.1E-01,7.473973E-01,-7.179959E-01,0,3.644906E+00
5.2E-01,7.401625E-01,-7.28901E-01,0,3.584751E+00
5.3E-01,7.328206E-01,-7.394098E-01,0,3.524482E+00
5.4E-01,7.253755E-01,-7.495497E-01,0,3.464086E+00
5.5E-01,7.178307E-01,-7.593541E-01,0,3.403538E+00
5.6E-01,7.101894E-01,-7.688621E-01,0,3.342802E+00
5.7E-01,7.024543E-01,-7.781169E-01,0,3.281837E+00
5.8E-01,6.946278E-01,-7.87165E-01,0,3.220591E+00
5.9E-01,6.867116E-01,-7.960548E-01,0,3.159008E+00
6E-01,6.787071E-01,-8.048354E-01,0,3.097029E+00
6.1E-01,6.706151E-01,-8.13555E-01,0,3.034591E+00
6.2E-01,6.62436E-01,-8.2226E-01,0,2.971632E+00
6.3E-01,6.541698E-01,-8.309937E-01,0,2.908091E+00
6.4E-01,6.458159E-01,-8.397949E-01,0,2.843912E+00
6.5E-01,6.373735E-01,-8.48697E-01,0,2.779042E+00
6.6E-01,6.288415E-01,-8.577275E-01,0,2.713436E+00
6.7E-01,6.202185E-01,-8.669066E-01,0,2.647057E+00
6.8E-01,6.115029E-01,-8.762471E-01,0,2.579878E+00
6.9E-01,6.02693E-01,-8.857541E-01,0,2.511882E+00
7E-01,5.937872E-01,-8.954244E-01,0,2.443061E+00
7.1E-01,5.84784E-01,-9.052473E-01,0,2.373423E+00
7.2E-01,5.756818E-01,-9.152042E-01,0,2.302983E+00
7.3E-01,5.664795E-01,-9.252693E-01,0,2.23177E+00
7.4E-01,5.571762E-01,-9.354103E-01,0,2.159824E+00
7.5E-01,5.477712E-01,-9.455892E-01,0,2.087192E+00
7.6E-01,5.382644E-01,-9.557634E-01,0,2.013935E+00
7.7E-01,5.286561E-01,-9.658862E-01,0,1.940118E+00
7.8E-01,5.18947E-01,-9.759089E-01,0,1.865815E+00
7.9E-01,5.091384E-01,-9.857811E-01,0,1.791102E+00
8E-01,4.992321E-01,-9.954527E-01,0,1.716062E+00
8.1E-01,4.892302E-01,-1.004874E+00,0,1.640776E+00
8.2E-01,4.791356E-01,-1.014E+00,0,1.565326E+00
8.3E-01,4.689514E-01,-1.022786E+00,0,1.489791E+00
8.4E-01,4.586811E-01,-1.031195E+00,0,1.414248E+00
8.5E-01,4.483288E-01,-1.039194E+00,0,1.338766E+00
8.6E-01,4.378987E-01,-1.046757E+00,0,1.263408E+00
8.7E-01,4.273952E-01,-1.053864E+00,0,1.188228E+00
8.8E-01,4.16823E-01,-1.060505E+00,0,1.113272E+00
8.9E-01,4.061867E-01,-1.066674E+00,0,1.038574E+00
9E-01,3.95491E-01,-1.072376E+00,0,9.641577E-01
9.1E-01,3.847407E-01,-1.077622E+00,0,8.900364E-01
9.2E-01,3.739401E-01,-1.082431E+00,0,8.162115E-01
9.3E-01,3.630934E-01,-1.086828E+00,0,7.42674E-01
9.4E-01,3.522048E-01,-1.090846E+00,0,6.694044E-01
9.5E-01,3.412777E-01,-1.09452E+00,0,5.96374E-01
9.6E-01,3.303154E-01,-1.097893E+00,0,5.235457E-01
9.7E-01,3.193207E-01,-1.101007E+00,0,4.508755E-01
9.8E-01,3.082959E-01,-1.103909E+00,0,3.783136E-01
9.9E-01,2.97243E-01,-1.106647E+00,0,3.058065E-01
1,2.861634E-01,-1.109266E+00,0,2.332981E-01
1.01E+00,2.75058E-01,-1.111811E+00,0,1.607322E-01
1.02E+00,2.639273E-01,-1.114325E+00,0,8.805343E-02
1.03E+00,2.527714E-01,-1.116845E+00,0,1.520958E-02
1.04E+00,2.415902E-01,-1.119404E+00,0,-5.784699E-02
1.05E+00,2.303831E-01,-1.122031E+00,0,-1.311578E-01
1.06E+00,2.191493E-01,-1.124745E+00,0,-2.04757E-01
1.07E+00,2.078879E-01,-1.127562E+00,0,-2.786701E-01
1.08E+00,1.965977E-01,-1.130487E+00,0,-3.529129E-01
1.09E+00,1.852778E-01,-1.133519E+00,0,-4.27491E-01
1.1E+00,1.73927E-01,-1.136652E+00,0,-5.023997E-01
1.11E+00,1.625445E-01,-1.139869E+00,0,-5.776229E-01
1.12E+00,1.511294E-01,-1.143147E+00,0,-6.531344E-01
1.13E+00,1.396814E-01,-1.146459E+00,0,-7.288975E-01
1.14E+00,1.282003E-01,-1.149771E+00,0,-8.048657E-01
1.15E+00,1.166861E-01,-1.153043E+00,0,-8.809843E-01
1.16E+00,1.051397E-01,-1.156234E+00,0,-9.571907E-01
1.17E+00,9.356188E-02,-1.159299E+00,0,-1.033416E+00
1.18E+00,8.195427E-02,-1.162192E+00,0,-1.109588E+00
1.19E+00,7.031877E-02,-1.164867E+00,0,-1.185628E+00
1.2E+00,5.865781E-02,-1.167278E+00,0,-1.26146E+00
1.21E+00,4.697423E-02,-1.169383E+00,0,-1.337005E+00
1.22E+00,3.527131E-02,-1.171141E+00,0,-1.412189E+00
1.23E+00,2.355268E-02,-1.172518E+00,0,-1.486937E+00
1.24E+00,1.182233E-02,-1.173482E+00,0,-1.561185E+00
1.25E+00,8.449784E-05,-1.17401E+00,0,-1.63487E+00
1.26E+00,-1.165635E-02,-1.174083E+00,-5E-02,-1.707941E+00
1.27E+00,-2.337109E-02,-1.16879E+00,-5E-02,-1.773375E+00
1.28E+00,-3.503064E-02,-1.163047E+00,-5E-02,-1.83784E+00
1.29E+00,-4.66306E-02,-1.156874E+00,-5E-02,-1.901335E+00
1.3E+00,-5.816678E-02,-1.150298E+00,-5E-02,-1.963871E+00
1.31E+00,-6.963531E-02,-1.143349E+00,-5E-02,-2.025468E+00
1.32E+00,-8.103264E-02,-1.136064E+00,-5E-02,-2.086155E+00
1.33E+00,-9.235561E-02,-1.128484E+00,-5E-02,-2.145968E+00
1.34E+00,-1.036015E-01,-1.120651E+00,-5E-02,-2.20495E+00
1.35E+00,-1.147679E-01,-1.112611E+00,-5E-02,-2.26315E+00
1.36E+00,-1.258532E-01,-1.10441E+00,-5E-02,-2.32062E+00
1.37E+00,-1.368558E-01,-1.096092E+00,-5E-02,-2.377415E+00
1.38E+00,-1.477748E-01,-1.087701E+00,-5E-02,-2.433588E+00
1.39E+00,-1.586097E-01,-1.079278E+00,-5E-02,-2.489194E+00
1.4E+00,-1.693603E-01,-1.07086E+00,-5E-02,-2.544283E+00
1.41E+00,-1.80027E-01,-1.06248E+00,-5E-02,-2.598902E+00
1.42E+00,-1.906102E-01,-1.054164E+00,-5E-02,-2.653093E+00
1.43E+00,-2.011106E-01,-1.045934E+00,-5E-02,-2.706888E+00
1.44E+00,-2.115292E-01,-1.037804E+00,-5E-02,-2.760314E+00
1.45E+00,-2.21867E-01,-1.029781E+00,-5E-02,-2.813388E+00
1.46E+00,-2.321251E-01,-1.021866E+00,-5E-02,-2.866118E+00
1.47E+00,-2.423047E-01,-1.014054E+00,-5E-02,-2.9185E+00
1.48E+00,-2.524065E-01,-1.006329E+00,-5E-02,-2.970523E+00
1.49E+00,-2.624315E-01,-9.986742E-01,-5E-02,-3.022165E+00
1.5E+00,-2.723801E-01,-9.910628E-01,-5E-02,-3.073393E+00
1.51E+00,-2.822528E-01,-9.834648E-01,-5E-02,-3.124167E+00
1.52E+00,-2.920494E-01,-9.758455E-01,-5E-02,-3.17444E+00
1.53E+00,-3.017695E-01,-9.681669E-01,-5E-02,-3.224154E+00
1.54E+00,-3.114124E-01,-9.603888E-01,-5E-02,-3.273249E+00
1.55E+00,-3.209768E-01,-9.524697E-01,-5E-02,-3.321661E+00
1.56E+00,-3.304612E-01,-9.44368E-01,-5E-02,-3.369321E+00
1.57E+00,-3.398634E-01,-9.360432E-01,-5E-02,-3.416159E+00
1.58E+00,-3.491811E-01,-9.274567E-01,-5E-02,-3.462108E+00
1.59E+00,-3.584116E-01,-9.185732E-01,-5E-02,-3.5071E+00
1.6E+00,-3.675515E-01,-9.093614E-01,-5E-02,-3.551073E+00
1.61E+00,-3.765976E-01,-8.997948E-01,-5E-02,-3.593968E+00
1.62E+00,-3.855462E-01,-8.898524E-01,-5E-02,-3.635734E+00
1.63E+00,-3.943933E-01,-8.795198E-01,-5E-02,-3.676326E+00
1.64E+00,-4.031352E-01,-8.687885E-01,-5E-02,-3.715708E+00
1.65E+00,-4.117678E-01,-8.576573E-01,-5E-02,-3.753853E+00
1.66E+00,-4.202871E-01,-8.461317E-01,-5E-02,-3.790745E+00
1.67E+00,-4.286891E-01,-8.342237E-01,-5E-02,-3.826377E+00
1.68E+00,-4.369703E-01,-8.219521E-01,-5E-02,-3.86075E+00
1.69E+00,-4.451271E-01,-8.093415E-01,-5E-02,-3.893877E+00
1.7E+00,-4.531561E-01,-7.964219E-01,-5E-02,-3.925781E+00
1.71E+00,-4.610546E-01,-7.832279E-01,-5E-02,-3.956491E+00
1.72E+00,-4.688199E-01,-7.69798E-01,-5E-02,-3.986044E+00
1.73E+00,-4.764499E-01,-7.561734E-01,-5E-02,-4.014486E+00
1.74E+00,-4.839429E-01,-7.423973E-01,-5E-02,-4.041864E+00
1.75E+00,-4.912975E-01,-7.285134E-01,-5E-02,-4.068233E+00
1.76E+00,-4.985129E-01,-7.145654E-01,-5E-02,-4.093647E+00
1.77E+00,-5.055887E-01,-7.005953E-01,-5E-02,-4.118163E+00
1.78E+00,-5.125249E-01,-6.866429E-01,-5E-02,-4.141836E+00
1.79E+00,-5.193217E-01,-6.727445E-01,-5E-02,-4.164718E+00
1.8E+00,-5.2598E-01,-6.589323E-01,-5E-02,-4.186859E+00
