t1,d1,v1,u,u_max
0,9.354965e-01,0,0,1.941810e+01
1.000000e-02,9.354109e-01,-1.710662e-02,0,1.928522e+01
2.000000e-02,9.351546e-01,-3.414481e-02,0,1.914932e+01
3.000000e-02,9.347284e-01,-5.105860e-02,0,1.901084e+01
4.000000e-02,9.341340e-01,-6.779521e-02,0,1.887024e+01
5.000000e-02,9.333733e-01,-8.430626e-02,0,1.872791e+01
6.000000e-02,9.324488e-01,-1.005490e-01,0,1.858423e+01
7.000000e-02,9.313633e-01,-1.164872e-01,0,1.843955e+01
8.000000e-02,9.301201e-01,-1.320923e-01,0,1.829415e+01
9.000000e-02,9.287226e-01,-1.473437e-01,0,1.814825e+01
1.000000e-01,9.271745e-01,-1.622293e-01,0,1.800204e+01
1.100000e-01,9.254793e-01,-1.767459e-01,0,1.785559e+01
1.200000e-01,9.236408e-01,-1.908991e-01,0,1.770896e+01
1.300000e-01,9.216625e-01,-2.047030e-01,0,1.756210e+01
1.400000e-01,9.195478e-01,-2.181796e-01,0,1.741493e+01
1.500000e-01,9.172999e-01,-2.313587e-01,0,1.726726e+01
1.600000e-01,9.149215e-01,-2.442765e-01,0,1.711889e+01
1.700000e-01,9.124151e-01,-2.569747e-01,0,1.696955e+01
1.800000e-01,9.097826e-01,-2.694995e-01,0,1.681891e+01
1.900000e-01,9.070255e-01,-2.819005e-01,0,1.666664e+01
2.000000e-01,9.041448e-01,-2.942287e-01,0,1.651237e+01
2.100000e-01,9.011410e-01,-3.065359e-01,0,1.635569e+01
2.200000e-01,8.980140e-01,-3.188729e-01,0,1.619623e+01
2.300000e-01,8.947633e-01,-3.312882e-01,0,1.603361e+01
2.400000e-01,8.913878e-01,-3.438266e-01,0,1.586745e+01
2.500000e-01,8.878862e-01,-3.565282e-01,0,1.569742e+01
2.600000e-01,8.842566e-01,-3.694273e-01,0,1.552322e+01
2.700000e-01,8.804969e-01,-3.825513e-01,0,1.534460e+01
2.800000e-01,8.766048e-01,-3.959203e-01,0,1.516135e+01
2.900000e-01,8.725776e-01,-4.095461e-01,0,1.497333e+01
3.000000e-01,8.684130e-01,-4.234322e-01,0,1.478046e+01
3.100000e-01,8.641081e-01,-4.375737e-01,0,1.458273e+01
3.200000e-01,8.596607e-01,-4.519570e-01,0,1.438018e+01
3.300000e-01,8.550683e-01,-4.665607e-01,0,1.417293e+01
3.400000e-01,8.503288e-01,-4.813557e-01,0,1.396117e+01
3.500000e-01,8.454406e-01,-4.963060e-01,0,1.374512e+01
3.600000e-01,8.404023e-01,-5.113697e-01,0,1.352509e+01
