t1sc,d1sc
0,9.354965e-01
1.000000e-02,9.354109e-01
2.000000e-02,9.351546e-01
3.000000e-02,9.347284e-01
4.000000e-02,9.341340e-01
5.000000e-02,9.333733e-01
6.000000e-02,9.324488e-01
7.000000e-02,9.313633e-01
8.000000e-02,9.301201e-01
9.000000e-02,9.287226e-01
1.000000e-01,9.271745e-01
1.100000e-01,9.254793e-01
1.200000e-01,9.236408e-01
1.300000e-01,9.216625e-01
1.400000e-01,9.195478e-01
1.500000e-01,9.172999e-01
1.600000e-01,9.149215e-01
1.700000e-01,9.124151e-01
1.800000e-01,9.097826e-01
1.900000e-01,9.070255e-01
2.000000e-01,9.041448e-01
2.100000e-01,9.011410e-01
2.200000e-01,8.980140e-01
2.300000e-01,8.947633e-01
2.400000e-01,8.913878e-01
2.500000e-01,8.878862e-01
2.600000e-01,8.842566e-01
2.700000e-01,8.804969e-01
2.800000e-01,8.766048e-01
2.900000e-01,8.725776e-01
3.000000e-01,8.684130e-01
3.100000e-01,8.641081e-01
3.200000e-01,8.596607e-01
3.300000e-01,8.550683e-01
3.400000e-01,8.503288e-01
3.500000e-01,8.454406e-01
3.600000e-01,8.404023e-01
3.700000e-01,8.352130e-01
3.800000e-01,8.298723e-01
3.900000e-01,8.243802e-01
4.000000e-01,8.187375e-01
4.100000e-01,8.129453e-01
4.200000e-01,8.070053e-01
4.300000e-01,8.009197e-01
4.400000e-01,7.946914e-01
4.500000e-01,7.883234e-01
4.600000e-01,7.818192e-01
4.700000e-01,7.751828e-01
4.800000e-01,7.684181e-01
4.900000e-01,7.615294e-01
5.000000e-01,7.545210e-01
5.100000e-01,7.473973e-01
5.200000e-01,7.401625e-01
5.300000e-01,7.328206e-01
5.400000e-01,7.253755e-01
5.500000e-01,7.178307e-01
5.600000e-01,7.101894e-01
5.700000e-01,7.024543e-01
5.800000e-01,6.946278e-01
5.900000e-01,6.867116e-01
6.000000e-01,6.787071e-01
6.100000e-01,6.706151e-01
6.200000e-01,6.624360e-01
6.300000e-01,6.541698e-01
6.400000e-01,6.458159e-01
6.500000e-01,6.373735e-01
6.600000e-01,6.288415e-01
6.700000e-01,6.202185e-01
6.800000e-01,6.115029e-01
6.900000e-01,6.026930e-01
7.000000e-01,5.937872e-01
7.100000e-01,5.847840e-01
7.200000e-01,5.756818e-01
7.300000e-01,5.664795e-01
7.400000e-01,5.571762e-01
7.500000e-01,5.477712e-01
7.600000e-01,5.382644e-01
7.700000e-01,5.286561e-01
7.800000e-01,5.189470e-01
7.900000e-01,5.091384e-01
8.000000e-01,4.992321e-01
8.100000e-01,4.892302e-01
8.200000e-01,4.791356e-01
8.300000e-01,4.689514e-01
8.400000e-01,4.586811e-01
8.500000e-01,4.483288e-01
8.600000e-01,4.378987e-01
8.700000e-01,4.273952e-01
8.800000e-01,4.168230e-01
8.900000e-01,4.061867e-01
9.000000e-01,3.954910e-01
9.100000e-01,3.847407e-01
9.200000e-01,3.739401e-01
9.300000e-01,3.630934e-01
9.400000e-01,3.522048e-01
9.500000e-01,3.412777e-01
9.600000e-01,3.303154e-01
9.700000e-01,3.193207e-01
9.800000e-01,3.082959e-01
9.900000e-01,2.972430e-01
1,2.861634e-01
1.010000e+00,2.750580e-01
1.020000e+00,2.639273e-01
1.030000e+00,2.527714e-01
1.040000e+00,2.415902e-01
1.050000e+00,2.303831e-01
1.060000e+00,2.191493e-01
1.070000e+00,2.078879e-01
1.080000e+00,1.965977e-01
1.090000e+00,1.852778e-01
1.100000e+00,1.739270e-01
1.110000e+00,1.625445e-01
1.120000e+00,1.511294e-01
1.130000e+00,1.396814e-01
1.140000e+00,1.282003e-01
1.150000e+00,1.166861e-01
1.160000e+00,1.051397e-01
1.170000e+00,9.356188e-02
1.180000e+00,8.195427e-02
1.190000e+00,7.031877e-02
1.200000e+00,5.865781e-02
1.210000e+00,4.697423e-02
1.220000e+00,3.527131e-02
1.230000e+00,2.355268e-02
1.240000e+00,1.182233e-02
1.250000e+00,8.449784e-05
1.260000e+00,-1.165635e-02
1.270000e+00,-2.339560e-02
1.280000e+00,-3.512859e-02
1.290000e+00,-4.685062e-02
1.300000e+00,-5.855710e-02
1.310000e+00,-7.024356e-02
1.320000e+00,-8.190574e-02
1.330000e+00,-9.353967e-02
1.340000e+00,-1.051417e-01
1.350000e+00,-1.167085e-01
1.360000e+00,-1.282372e-01
1.370000e+00,-1.397255e-01
1.380000e+00,-1.511712e-01
1.390000e+00,-1.625728e-01
1.400000e+00,-1.739293e-01
1.410000e+00,-1.852399e-01
1.420000e+00,-1.965044e-01
1.430000e+00,-2.077229e-01
1.440000e+00,-2.188956e-01
1.450000e+00,-2.300233e-01
1.460000e+00,-2.411067e-01
1.470000e+00,-2.521468e-01
1.480000e+00,-2.631444e-01
1.490000e+00,-2.741007e-01
1.500000e+00,-2.850163e-01
1.510000e+00,-2.958921e-01
1.520000e+00,-3.067285e-01
1.530000e+00,-3.175257e-01
1.540000e+00,-3.282836e-01
1.550000e+00,-3.390017e-01
1.560000e+00,-3.496792e-01
1.570000e+00,-3.603147e-01
1.580000e+00,-3.709065e-01
1.590000e+00,-3.814525e-01
1.600000e+00,-3.919502e-01
1.610000e+00,-4.023967e-01
1.620000e+00,-4.127886e-01
1.630000e+00,-4.231224e-01
1.640000e+00,-4.333943e-01
1.650000e+00,-4.436002e-01
1.660000e+00,-4.537360e-01
1.670000e+00,-4.637975e-01
1.680000e+00,-4.737803e-01
1.690000e+00,-4.836804e-01
1.700000e+00,-4.934938e-01
1.710000e+00,-5.032166e-01
1.720000e+00,-5.128452e-01
1.730000e+00,-5.223764e-01
1.740000e+00,-5.318073e-01
1.750000e+00,-5.411354e-01
1.760000e+00,-5.503586e-01
1.770000e+00,-5.594752e-01
1.780000e+00,-5.684839e-01
1.790000e+00,-5.773841e-01
1.800000e+00,-5.861753e-01
1.810000e+00,-5.948574e-01
1.820000e+00,-6.034309e-01
1.830000e+00,-6.118963e-01
1.840000e+00,-6.202546e-01
1.850000e+00,-6.285068e-01
1.860000e+00,-6.366542e-01
1.870000e+00,-6.446980e-01
1.880000e+00,-6.526396e-01
1.890000e+00,-6.604800e-01
1.900000e+00,-6.682205e-01
1.910000e+00,-6.758619e-01
1.920000e+00,-6.834048e-01
1.930000e+00,-6.908497e-01
1.940000e+00,-6.981966e-01
1.950000e+00,-7.054451e-01
1.960000e+00,-7.125946e-01
1.970000e+00,-7.196440e-01
1.980000e+00,-7.265918e-01
1.990000e+00,-7.334361e-01
2,-7.401748e-01
2.010000e+00,-7.468054e-01
2.020000e+00,-7.533250e-01
2.030000e+00,-7.597307e-01
2.040000e+00,-7.660191e-01
2.050000e+00,-7.721869e-01
2.060000e+00,-7.782308e-01
2.070000e+00,-7.841472e-01
2.080000e+00,-7.899329e-01
2.090000e+00,-7.955846e-01
2.100000e+00,-8.010994e-01
2.110000e+00,-8.064743e-01
2.120000e+00,-8.117069e-01
2.130000e+00,-8.167950e-01
2.140000e+00,-8.217369e-01
2.150000e+00,-8.265312e-01
2.160000e+00,-8.311768e-01
2.170000e+00,-8.356732e-01
2.180000e+00,-8.400202e-01
2.190000e+00,-8.442180e-01
2.200000e+00,-8.482674e-01
2.210000e+00,-8.521691e-01
2.220000e+00,-8.559245e-01
2.230000e+00,-8.595350e-01
2.240000e+00,-8.630023e-01
2.250000e+00,-8.663283e-01
2.260000e+00,-8.695149e-01
2.270000e+00,-8.725639e-01
2.280000e+00,-8.754773e-01
2.290000e+00,-8.782568e-01
2.300000e+00,-8.809039e-01
2.310000e+00,-8.834202e-01
2.320000e+00,-8.858067e-01
2.330000e+00,-8.880643e-01
2.340000e+00,-8.901934e-01
2.350000e+00,-8.921942e-01
2.360000e+00,-8.940666e-01
2.370000e+00,-8.958099e-01
2.380000e+00,-8.974233e-01
2.390000e+00,-8.989055e-01
2.400000e+00,-9.002549e-01
2.410000e+00,-9.014699e-01
2.420000e+00,-9.025482e-01
2.430000e+00,-9.034878e-01
2.440000e+00,-9.042863e-01
2.450000e+00,-9.049413e-01
2.460000e+00,-9.054504e-01
2.470000e+00,-9.058113e-01
2.480000e+00,-9.060217e-01
2.490000e+00,-9.060796e-01
2.500000e+00,-9.059831e-01
2.510000e+00,-9.057307e-01
2.520000e+00,-9.053212e-01
2.530000e+00,-9.047537e-01
2.540000e+00,-9.040276e-01
2.550000e+00,-9.031428e-01
2.560000e+00,-9.020995e-01
2.570000e+00,-9.008985e-01
2.580000e+00,-8.995406e-01
2.590000e+00,-8.980274e-01
2.600000e+00,-8.963604e-01
2.610000e+00,-8.945417e-01
2.620000e+00,-8.925736e-01
2.630000e+00,-8.904583e-01
2.640000e+00,-8.881986e-01
2.650000e+00,-8.857970e-01
2.660000e+00,-8.832563e-01
2.670000e+00,-8.805790e-01
2.680000e+00,-8.777677e-01
2.690000e+00,-8.748248e-01
2.700000e+00,-8.717526e-01
2.710000e+00,-8.685529e-01
2.720000e+00,-8.652275e-01
2.730000e+00,-8.617777e-01
2.740000e+00,-8.582047e-01
2.750000e+00,-8.545092e-01
2.760000e+00,-8.506915e-01
2.770000e+00,-8.467518e-01
2.780000e+00,-8.426898e-01
2.790000e+00,-8.385050e-01
2.800000e+00,-8.341966e-01
2.810000e+00,-8.297635e-01
2.820000e+00,-8.252046e-01
2.830000e+00,-8.205186e-01
2.840000e+00,-8.157041e-01
2.850000e+00,-8.107597e-01
2.860000e+00,-8.056842e-01
2.870000e+00,-8.004762e-01
2.880000e+00,-7.951346e-01
2.890000e+00,-7.896586e-01
2.900000e+00,-7.840476e-01
2.910000e+00,-7.783011e-01
2.920000e+00,-7.724192e-01
2.930000e+00,-7.664022e-01
2.940000e+00,-7.602507e-01
2.950000e+00,-7.539657e-01
2.960000e+00,-7.475488e-01
