t1r,d1r
0,9.115593e-01
1.000000e-02,9.100600e-01
2.000000e-02,9.085607e-01
3.000000e-02,9.070615e-01
4.000000e-02,9.055622e-01
5.000000e-02,9.040629e-01
6.000000e-02,9.025636e-01
7.000000e-02,9.011046e-01
8.000000e-02,8.996725e-01
9.000000e-02,8.982403e-01
1.000000e-01,8.968082e-01
1.100000e-01,8.953761e-01
1.200000e-01,8.939439e-01
1.300000e-01,8.925118e-01
1.400000e-01,8.884432e-01
1.500000e-01,8.840817e-01
1.600000e-01,8.797201e-01
1.700000e-01,8.753586e-01
1.800000e-01,8.709971e-01
1.900000e-01,8.666355e-01
2.000000e-01,8.618379e-01
2.100000e-01,8.560225e-01
2.200000e-01,8.502071e-01
2.300000e-01,8.443918e-01
2.400000e-01,8.385764e-01
2.500000e-01,8.327610e-01
2.600000e-01,8.269456e-01
2.700000e-01,8.221480e-01
2.800000e-01,8.177864e-01
2.900000e-01,8.134249e-01
3.000000e-01,8.090634e-01
3.100000e-01,8.047019e-01
3.200000e-01,8.003403e-01
3.300000e-01,7.956018e-01
3.400000e-01,7.874701e-01
3.500000e-01,7.793385e-01
3.600000e-01,7.712068e-01
3.700000e-01,7.630751e-01
3.800000e-01,7.549435e-01
3.900000e-01,7.463446e-01
4.000000e-01,7.358769e-01
4.100000e-01,7.254093e-01
4.200000e-01,7.149416e-01
4.300000e-01,7.044739e-01
4.400000e-01,6.940063e-01
4.500000e-01,6.832825e-01
4.600000e-01,6.724491e-01
4.700000e-01,6.616156e-01
4.800000e-01,6.507821e-01
4.900000e-01,6.399487e-01
5.000000e-01,6.291152e-01
5.100000e-01,6.197004e-01
5.200000e-01,6.117043e-01
5.300000e-01,6.037081e-01
5.400000e-01,5.957120e-01
5.500000e-01,5.877159e-01
5.600000e-01,5.797197e-01
5.700000e-01,5.717236e-01
5.800000e-01,5.637274e-01
5.900000e-01,5.556233e-01
6.000000e-01,5.465466e-01
6.100000e-01,5.374699e-01
6.200000e-01,5.283932e-01
6.300000e-01,5.193165e-01
6.400000e-01,5.102398e-01
6.500000e-01,5.011631e-01
6.600000e-01,4.920864e-01
6.700000e-01,4.856319e-01
6.800000e-01,4.803011e-01
6.900000e-01,4.749704e-01
7.000000e-01,4.696396e-01
7.100000e-01,4.643088e-01
7.200000e-01,4.589781e-01
7.300000e-01,4.536473e-01
7.400000e-01,4.454989e-01
7.500000e-01,4.345328e-01
7.600000e-01,4.235666e-01
7.700000e-01,4.126005e-01
7.800000e-01,4.016344e-01
7.900000e-01,3.906683e-01
8.000000e-01,3.797021e-01
8.100000e-01,3.661103e-01
8.200000e-01,3.498928e-01
8.300000e-01,3.336753e-01
8.400000e-01,3.174578e-01
8.500000e-01,3.012403e-01
8.600000e-01,2.850228e-01
8.700000e-01,2.688052e-01
8.800000e-01,2.545593e-01
8.900000e-01,2.432706e-01
9.000000e-01,2.319820e-01
9.100000e-01,2.206933e-01
9.200000e-01,2.094046e-01
9.300000e-01,1.981160e-01
9.400000e-01,1.868273e-01
9.500000e-01,1.760878e-01
9.600000e-01,1.657145e-01
9.700000e-01,1.553411e-01
9.800000e-01,1.449677e-01
9.900000e-01,1.345944e-01
1,1.242210e-01
1.010000e+00,1.138477e-01
1.020000e+00,1.036536e-01
1.030000e+00,9.417669e-02
1.040000e+00,8.469979e-02
1.050000e+00,7.522289e-02
1.060000e+00,6.574599e-02
1.070000e+00,5.626909e-02
1.080000e+00,4.679219e-02
1.090000e+00,3.731529e-02
1.100000e+00,2.774875e-02
1.110000e+00,1.737538e-02
1.120000e+00,7.002020e-03
1.130000e+00,-3.371343e-03
1.140000e+00,-1.374471e-02
1.150000e+00,-2.411807e-02
1.160000e+00,-3.449143e-02
1.170000e+00,-4.486480e-02
1.180000e+00,-5.599681e-02
1.190000e+00,-6.745395e-02
1.200000e+00,-7.891110e-02
1.210000e+00,-9.036825e-02
1.220000e+00,-1.018254e-01
1.230000e+00,-1.132825e-01
1.240000e+00,-1.247397e-01
1.250000e+00,-1.335775e-01
1.260000e+00,-1.424154e-01
1.270000e+00,-1.512532e-01
1.280000e+00,-1.600910e-01
1.290000e+00,-1.689289e-01
1.300000e+00,-1.777667e-01
1.310000e+00,-1.866045e-01
1.320000e+00,-1.979674e-01
1.330000e+00,-2.131180e-01
1.340000e+00,-2.282686e-01
1.350000e+00,-2.434192e-01
1.360000e+00,-2.585697e-01
1.370000e+00,-2.737203e-01
1.380000e+00,-2.888709e-01
1.390000e+00,-3.040214e-01
1.400000e+00,-3.153502e-01
1.410000e+00,-3.257236e-01
1.420000e+00,-3.360970e-01
1.430000e+00,-3.464703e-01
1.440000e+00,-3.568437e-01
1.450000e+00,-3.672171e-01
1.460000e+00,-3.775904e-01
1.470000e+00,-3.880206e-01
1.480000e+00,-3.985361e-01
1.490000e+00,-4.090515e-01
1.500000e+00,-4.195670e-01
1.510000e+00,-4.300825e-01
1.520000e+00,-4.405979e-01
1.530000e+00,-4.511134e-01
1.540000e+00,-4.615102e-01
1.550000e+00,-4.708390e-01
1.560000e+00,-4.801678e-01
1.570000e+00,-4.894967e-01
1.580000e+00,-4.988255e-01
1.590000e+00,-5.081543e-01
1.600000e+00,-5.174831e-01
1.610000e+00,-5.268120e-01
1.620000e+00,-5.385396e-01
1.630000e+00,-5.505338e-01
1.640000e+00,-5.625280e-01
1.650000e+00,-5.745222e-01
1.660000e+00,-5.865164e-01
1.670000e+00,-5.985106e-01
1.680000e+00,-6.105048e-01
1.690000e+00,-6.224990e-01
1.700000e+00,-6.290958e-01
1.710000e+00,-6.350929e-01
1.720000e+00,-6.410900e-01
1.730000e+00,-6.470871e-01
1.740000e+00,-6.530842e-01
1.750000e+00,-6.590813e-01
1.760000e+00,-6.650784e-01
1.770000e+00,-6.710755e-01
1.780000e+00,-6.775103e-01
1.790000e+00,-6.839936e-01
1.800000e+00,-6.904770e-01
1.810000e+00,-6.969603e-01
1.820000e+00,-7.034437e-01
1.830000e+00,-7.099270e-01
1.840000e+00,-7.164104e-01
1.850000e+00,-7.219098e-01
1.860000e+00,-7.264253e-01
1.870000e+00,-7.309407e-01
1.880000e+00,-7.354562e-01
1.890000e+00,-7.399716e-01
1.900000e+00,-7.444871e-01
1.910000e+00,-7.490026e-01
1.920000e+00,-7.535180e-01
1.930000e+00,-7.580335e-01
1.940000e+00,-7.617720e-01
1.950000e+00,-7.655104e-01
1.960000e+00,-7.692489e-01
1.970000e+00,-7.729873e-01
1.980000e+00,-7.767258e-01
1.990000e+00,-7.804642e-01
2,-7.842027e-01
2.010000e+00,-7.883150e-01
2.020000e+00,-7.932996e-01
2.030000e+00,-7.982842e-01
2.040000e+00,-8.032688e-01
2.050000e+00,-8.082534e-01
2.060000e+00,-8.132380e-01
2.070000e+00,-8.182226e-01
2.080000e+00,-8.232072e-01
2.090000e+00,-8.267363e-01
2.100000e+00,-8.292951e-01
2.110000e+00,-8.318538e-01
2.120000e+00,-8.344126e-01
2.130000e+00,-8.369713e-01
2.140000e+00,-8.395301e-01
